VariableName,_beizhu,triggerTime,lastTime,needAutoJump,canSkip,isFirstGate,isOver,storyType,guideArgs,showType,choices,gotoStep,force,useRoleFigure,unitId,offPos,talkSelect,talkContent,talkContent_ma,talkContent_en,talkContent_th,talkContent_ph,talkContent_in,talkContent_vn,topTalk,topTalk_ma,topTalk_en,topTalk_th,topTalk_ph,topTalk_in,topTalk_vn,topTalkPos,topPosX,topPosY,playmp4,headRes,headPos,roleName_cn,roleName_tw,roleName,roleName_vn,roleName_kr,bgRes,tagName,animate,animateAngle,animatePos,anyPosCancel,lightSize
10033,,4000,2000,,TRUE,,,,,,,,2,<301>,,,,"Oh my, you’re so annoying!  ","Oh tidak, menjengkelkan!  ","Oh my, you’re so annoying!  ",โอ๊ย น่ารำคาญจริง!,"Naku, nakakainis!  ","Aduh, menyebalkan!","Ôi trời, đáng ghét!",,,,,,,,,,,,,,,,,,,,,,,,,
10041,,,2000,,TRUE,,,,,,,,2,<101>,,{y=600;x=-30},,There’s a wild hero energy signature up ahead.  ,Di depan ada reaksi dari wira liar.  ,There’s a wild hero energy signature up ahead.  ,ด้านหน้ามีการตอบสนองของฮีโร่ป่า,May energy reaction sa unahan — isang wild hero!  ,Di depan ada reaksi dari pahlawan liar.  ,Phía trước có phản ứng của anh hùng hoang dã.,,,,,,,,,,,,,,,,,,,,,,,,,
10042,,2000,2000,,TRUE,,,,,,,,,<401>,,,,Hey! What kind of divine beast is that?  ,Eh! Itu binatang legenda apa pula tu?!  ,Hey! What kind of divine beast is that?  ,เฮ้! เป็นสัตว์เทพตัวไหนน่ะ?,Uy! Anong uri ng Divine Beast 'yon?  ,Eh! Itu makhluk legendaris apa ya?  ,Ê! Là thần thú gì vậy?,,,,,,,,,,,,,,,,,,,,,,,,,
10043,,4000,2000,,TRUE,,,,,,,,2,<101>,,{y=600;x=-30},,"You’re probably overthinking it, Loto. No such thing could be near human towns.  ","Mungkin kamu berfikir terlalu jauh, Loto, mana mungkin makhluk sebegitu ada dekat kawasan manusia ni.  ","You’re probably overthinking it, Loto. No such thing could be near human towns.  ",Loto นายคิดมากไปแล้วล่ะ แถวเมืองมนุษย์แบบนี้ไม่มีหรอก,"Rotom, masyado ka namang nag-iisip. Walang ganung bagay malapit sa mga bayan ng tao.  ","Kamu pikir berlebihan deh, Loto, mana mungkin ada hal semacam itu dekat kota manusia.  ","Chắc mày nghĩ nhiều rồi, Loto à, làm gì có cái thứ đó gần mấy cái thị trấn của loài người này.",,,,,,,,,,,,,,,,,,,,,,,,,
10044,,6000,2000,,TRUE,,,,,,,,,<401>,,,,"Tch, I thought it was Moltres. Hmph, let’s battle this wild hero anyway—my future depends on it!!  ","Ceh, aku sangka Ho-oh chứ, tsk, lawan sikit dengan wira liar ni, mungkin ada masa depan!!...  ","Tch, I thought it was Moltres. Hmph, let’s battle this wild hero anyway—my future depends on it!!  ",แหม ฉันนึกว่าเป็นฟีนิกซ์ซะอีก เฮ้อ ลองสู้กับฮีโร่ป่าดูก็ได้ เผื่ออนาคตมีอะไรดี ๆ!!,"Akala ko pa naman si Ho-Oh ‘yon, tsk, subukan na lang natin kalabanin ang wild hero na ‘to. Sa hinaharap, tiyak!!...  ","Cih, aku kira itu adalah Phoenix Api, ya sudah, coba lawan pahlawan liar ini dulu, siapa biết masa depan cerah!!...  ","Xí, tôi còn tưởng là Hoả Phụng Hoàng chứ, chậc, cứ đánh thử với anh hùng hoang dã này xem sao, tương lai nhất định!!….",,,,,,,,,,,,,,,,,,,,,,,,,
10051,,,2000,,TRUE,,,,,,,,2,<101>,,{y=600;x=-30},,"Well done, Loto!  ","Bagus sangat, Loto!  ","Well done, Loto!  ",ทำดีมากเลย Loto!,"Magaling, Loto!  ","Kerja bagus, Loto!  ","Làm tốt lắm, Loto!",,,,,,,,,,,,,,,,,,,,,,,,,
10052,,2000,2000,,TRUE,,,,,,,,,<401>,,,,"Of course, I’m going to become the king of the world after all.  ",Sudah tentu! Aku nak jadi raja dunia ni!  ,"Of course, I’m going to become the king of the world after all.  ",แน่นอนอยู่แล้ว ฉันยังต้องเป็นราชาแห่งโลกนี้อีกนะ,"Siyempre naman, magiging hari pa ako ng mundo!  ","Tentu saja, aku kan mau jadi raja dunia.  ","Đương nhiên rồi, tôi còn phải trở thành vua của thế giới nữa mà.",,,,,,,,,,,,,,,,,,,,,,,,,
10053,,4000,2000,,TRUE,,,,,,,,2,<101>,,{y=600;x=-30},,"Hey, what’s going on?  ","Eh, apa tu?!  ","Hey, what’s going on?  ",เฮ้ เกิดอะไรขึ้นน่ะ?,"Uy, ano'ng nangyayari?  ","Eh, apa yang terjadi?  ","Ê, chuyện gì vậy?",,,,,,,,,,,,,,,,,,,,,,,,,
10054,,6000,2000,,TRUE,,,,,,,,,<401>,,,,What’s the matter?,Kenapa? Ada apa?!,What’s the matter?,เป็นอะไรเหรอ?,Anong meron?  ,Kenapa?  ,Sao vậy?,,,,,,,,,,,,,,,,,,,,,,,,,
10055,,8000,2000,,TRUE,,,,,,,,2,,1271,,,…………,…………,…………,…………,…………  ,…………  ,…………,,,,,,,,,,,,,,,,,,,,,,,,,
10056,,10000,2000,,TRUE,,,,,,,,,<101>,,{y=600;x=-30},,You're really lucky—just stepped out of the house and already saw Ho-Oh. They say whoever sees Ho-Oh will be blessed and have great luck.  ,"Kamu memang bertuah, baru keluar rumah dah nampak Ho-Oh, dengar kata sesiapa yang melihat Ho-Oh akan diberkati dan mendapat tuah.  ",You're really lucky—just stepped out of the house and already saw Ho-Oh. They say whoever sees Ho-Oh will be blessed and have great luck.  ,คุณโชคดีจริง ๆ เพิ่งออกจากบ้านก็เจอ Ho-Oh แล้ว ได้ยินว่าถ้าใครเห็น Ho-Oh จะได้รับพรและโชคดีนะ,"Ang swerte mo naman! Pagkalabas mo ng bahay ay nakita mo agad si Ho-Oh. Sabi nila, ang makakita kay Ho-Oh ay mabibigyan ng biyaya at suwerte.  ","Kamu beruntung sekali, baru keluar rumah sudah melihat Ho-Oh, katanya siapa yang melihat Ho-Oh akan diberi berkah dan keberuntungan.  ","Bạn thật may mắn, vừa ra khỏi nhà đã thấy Ho-Oh, nghe nói ai thấy Ho-Oh sẽ được ban phước lành và gặp may mắn đó.",,,,,,,,,,,,,,,,,,,,,,,,,
10057,,12000,2000,,TRUE,,,,,,,,,<401>,,,,"Rotom, take a quick photo!  ","Rotom, cepat ambil gambar!  ","Rotom, take a quick photo!  ",Rotom ถ่ายรูปเร็วเข้า!,"Rotom, kunan mo agad ng litrato!  ","Rotom, cepat ambil foto!  ","Rotom, chụp ảnh nhanh lên!",,,,,,,,,,,,,,,,,,,,,,,,,
10058,,14000,2000,,TRUE,,,,,,,,2,,1271,,,………  ,…………  ,………  ,…………,…………  ,…………  ,…………,,,,,,,,,,,,,,,,,,,,,,,,,
10059,,16000,2000,,TRUE,,,,,,,,,<101>,,{y=600;x=-30},,"Don’t worry, I got the shot!  ","Jangan risau, dah ambil gambar!  ","Don’t worry, I got the shot!  ",ไม่ต้องห่วง ถ่ายไว้แล้ว!,"Relax, nakuha ko na ang picture!  ","Tenang saja, sudah difoto!  ","Yên tâm đi, chụp được rồi!",,,,,,,,,,,,,,,,,,,,,,,,,
10061,,,2000,,TRUE,,,,,,,,2,<15>,,,,"Hi there, are you a Trainer too?  ","Hai kawan, kamu juga jurulatih Pokémon ke?  ","Hi there, are you a Trainer too?  ",สวัสดี คุณก็เป็นเทรนเนอร์เหมือนกันเหรอ?,Hi! Isa ka rin bang Pokémon Trainer?  ,"Halo, kamu juga pelatih Pokémon ya?  ","Chào bạn, bạn cũng là huấn luyện viên à?",,,,,,,,,,,,,,,,,,,,,,,,,
10062,,2000,2000,,TRUE,,,,,,,,,<401>,,,,"Yeah, what’s up?  ","Ya, kenapa?  ","Yeah, what’s up?  ",ใช่ มีอะไรหรือเปล่า?,"Oo, bakit?  ","Iya, kenapa memangnya?  ","Ừ, có chuyện gì vậy?",,,,,,,,,,,,,,,,,,,,,,,,,
10063,,4000,2000,,TRUE,,,,,,,,2,<15>,,,,"As Trainers, once we lock eyes, we have to battle—it’s basic etiquette.  ","Kalau dah jadi jurulatih, bila bertentang mata, kena mula berlawan, itu baru betul-betul etika asas.  ","As Trainers, once we lock eyes, we have to battle—it’s basic etiquette.  ",เป็นเทรนเนอร์แล้ว ถ้าได้สบตากันก็ต้องประลองกันก่อน นั่นแหละคือมารยาทพื้นฐาน,"Kung pareho tayong Trainer, kapag nagkatinginan tayo, dapat tayong maglaban — yan ang basic na etiketa!  ","Kalau sudah jadi pelatih, begitu saling menatap mata harus langsung bertarung, itu baru etika dasar.  ","Đã là huấn luyện viên, thì khi chạm mắt nhau là phải bắt đầu giao đấu, đó mới là lễ nghi cơ bản chứ.",,,,,,,,,,,,,,,,,,,,,,,,,
10064,,6000,2000,,TRUE,,,,,,,,,<401>,,,,"Ha, girls lining up at the door? Too bad you’re not my type...  ","Ha, adik manis berdiri depan pintu? Sayangnya kamu bukan citarasa abang...  ","Ha, girls lining up at the door? Too bad you’re not my type...  ",หึ น้องสาวมาดักอยู่หน้าประตูเลยเหรอ? เสียดายที่น้องไม่ใช่สเปคพี่นะ...,"Haha, may batang babae sa harap ko? Sayang, hindi ka kasi type ko eh...  ","Ha, cewek imut nongol di depan pintu ya? Sayangnya kamu bukan tipeku...  ","Ha, em gái bu đầy cửa à? Tiếc là em không phải gu của anh...",,,,,,,,,,,,,,,,,,,,,,,,,
10065,,8000,2000,,TRUE,,,,,,,,2,<15>,,,,"Ugh, how dare you say something like that! Let me teach you a lesson!  ","Geramnya! Macam mana kamu boleh cakap macam tu, tengok aku ajar kamu bây giờ!  ","Ugh, how dare you say something like that! Let me teach you a lesson!  ",โมโหสุด ๆ! นายพูดแบบนี้ได้ยังไง เดี๋ยวฉันจะสั่งสอนให้นายรู้จักความพ่ายแพ้!,Nakakainis ka! Paano mo nasabing ganyan?! Hayaan mong turuan kita ng leksyon!  ,"Menyebalkan! Gimana bisa kamu ngomong begitu, biar aku ajarin kamu một bài học!  ","Tức chết đi được! Sao cậu có thể nói những lời như vậy, để xem tớ dạy dỗ cậu đây!",,,,,,,,,,,,,,,,,,,,,,,,,
10066,,10000,2000,,TRUE,,,,,,,,,<401>,,,,"Don’t worry, I won’t lose!  ","Jangan risau, aku takkan kalah!  ","Don’t worry, I won’t lose!  ",ไม่ต้องห่วง ฉันจะไม่แพ้แน่นอน!,"Don’t worry, hindi ako matatalo!  ","Tenang saja, aku tidak akan kalah!  ","Yên tâm đi, tôi sẽ không thua đâu!",,,,,,,,,,,,,,,,,,,,,,,,,
10071,,,2000,,TRUE,,,,,,,,2,<15>,,,,"Boo hoo, I lost... So frustrating!  ","Hu hu, kalah rồi, aduh, geram betul!  ","Boo hoo, I lost... So frustrating!  ",ฮือฮือ สู้ไม่ได้ แง โมโหจังเลย!,"Hu hu, hindi ko siya kaya! Ayy, nakakainis talaga!  ","Huhu, kalah deh, aduh, kesel banget!  ","Hu hu, đánh không lại, ái chà, tức quá đi!",,,,,,,,,,,,,,,,,,,,,,,,,
10072,,2000,2000,,TRUE,,,,,,,,,<401>,,,,"Haha, you’re kind of cute actually. Playing hero battle games is pretty easy!  ","Haha, tiba-tiba rasa kamu agak comel, main game gaya lawan hero memang senang!  ","Haha, you’re kind of cute actually. Playing hero battle games is pretty easy!  ",ฮ่า ๆ อยู่ดี ๆ ก็รู้สึกว่านายดูน่ารักแฮะ เกมแนวต่อสู้นี่มันง่ายจริง ๆ!,"Haha, parang naging cute ka bigla. Madali lang talaga ang ganitong labanan sa strategy game!  ","Haha, tiba-tiba kamu terlihat imut juga, main game auto-battle kayak gini gampang banget!  ","Haha, tự nhiên thấy bạn hơi đáng yêu, chơi game kiểu đấu tướng đúng là dễ dàng!",,,,,,,,,,,,,,,,,,,,,,,,,
10073,,4000,2000,,TRUE,,,,,,,,2,<15>,,,,"Alright then, Dumbhead, I’m Bai Lu. Hope we meet again someday.  ","Baiklah, Bodoh, saya bernama Bai Lu, semoga kita bertemu lagi.","Alright then, Dumbhead, I’m Bai Lu. Hope we meet again someday.  ",โอเคก็ได้ ไอตัวบื้อ ฉันชื่อไป๋ลู่ ไว้เจอกันใหม่นะ,"Ayos lang, Daitou, ang pangalan ko ay Bai Lu — sana’y magkita tayong muli!","Oke deh, Daitou, namaku Bai Lu, semoga kita berjodoh dan bisa bertemu lagi ya.","Ừ thôi được rồi, Đ呆头, tôi tên là Bạch Lộ, có duyên gặp lại nhé.",,,,,,,,,,,,,,,,,,,,,,,,,
10081,,,2000,,TRUE,,,,,,,,2,<101>,,{y=600;x=-30},,There’s a high energy reading up ahead!  ,Reaksi tenaga tinggi di depan!  ,There’s a high energy reading up ahead!  ,ด้านหน้ามีพลังงานสูง!,May mataas na energy reading sa harapan!  ,Ada reaksi energi tinggi di depan!  ,Phản ứng năng lượng cao phía trước!,,,,,,,,,,,,,,,,,,,,,,,,,
10082,,2000,2000,,TRUE,,,,,,,,,<401>,,,,What’s going on?  ,Apa tu?  ,What’s going on?  ,เกิดอะไรขึ้นน่ะ?,Anong nangyayari?!,Apa itu?  ,Chuyện gì vậy?,,,,,,,,,,,,,,,,,,,,,,,,,
10083,,4000,2000,,TRUE,,,,,,,,2,<101>,,{y=600;x=-30},,"Looks like it’s a wild Hero Lord, Loto.  ",Nampaknya itu adalah Panglima Wira Liar Loto.  ,"Looks like it’s a wild Hero Lord, Loto.  ",เหมือนว่าจะเป็นจอมทัพฮีโร่ป่า Loto,"Mukhang si Loto, ang Panginoon ng mga wild hero.  ","Sepertinya itu adalah Raja Pahlawan Liar, Loto.  ",Có vẻ như là Lãnh chúa anh hùng hoang dã Loto.,,,,,,,,,,,,,,,,,,,,,,,,,
10084,,6000,2000,,TRUE,,,,,,,,,<401>,,,,"Hmph, let’s see what this so-called legendary Hero Lord is made of!  ","Hmph, biar aku tengok si panglima wira lagenda ni jenis macam mana!  ","Hmph, let’s see what this so-called legendary Hero Lord is made of!  ",หึ ให้ฉันดูหน่อยสิว่าไอ้จอมทัพฮีโร่ในตำนานนี่มันแค่ไหนกันเชียว!,"Hmm, tingnan natin kung anong klaseng tao ang sinasabing Panginoon ng mga bayani sa alamat!  ","Hmph, biar kulihat si Raja Pahlawan dari legenda ini seperti apa orangnya!  ","Hừ, để ta xem thử cái tên lãnh chúa anh hùng trong truyền thuyết này là hạng người gì!",,,,,,,,,,,,,,,,,,,,,,,,,
10100,,,2000,,TRUE,,,,,,,,2,<101>,,{y=600;x=-30},,Seems like we’ve arrived at a mysterious tribe that’s not even on the map—Lac Thac.  ,"Nampaknya kita sampai ke satu puak misteri yang tak ada dalam peta, Lak Thac.  ",Seems like we’ve arrived at a mysterious tribe that’s not even on the map—Lac Thac.  ,เหมือนเรามาถึงเผ่าลึกลับที่ไม่มีในแผนที่แล้วแหละ ลั่วถัว,"Mukhang napunta tayo sa isang misteryosong tribo na wala sa mapa, ang Lac Thac.  ","Sepertinya kita sampai di suku misterius yang tidak ada di peta, Lak Thac.  ","Dường như đã đến một bộ lạc bí ẩn không có trên bản đồ, Lạc Thác.",,,,,,,,,,,,,,,,,,,,,,,,,
10101,,2000,2000,,TRUE,,,,,,,,,<401>,,,,"Hey, can you even be trusted? You’re our guide and yet we got lost?  ","Eh, kau ni boleh percaya ke tak, tunjuk jalan tapi boleh sesatkan aku pula?  ","Hey, can you even be trusted? You’re our guide and yet we got lost?  ",เฮ้ นายไว้ใจได้หรือเปล่า พามาแล้วยังหลงอีกเนี่ย?,"Uy, mapagkakatiwalaan ka ba talaga? Nagtuturo ka ng daan pero naligaw tayo!  ","Eh, kamu bisa dipercaya nggak sih, bawa jalan malah bikin aku nyasar?  ","Ê, mày có đáng tin không đấy, dẫn đường mà còn dẫn tao lạc đường được hả?",,,,,,,,,,,,,,,,,,,,,,,,,
10102,,4000,2000,,TRUE,,,,,,,,2,<101>,,{y=600;x=-30},,"Either way, you’re planning to explore everywhere, right? This place looks interesting, so let’s just wander around for now, Loto.  ","Kau pun memang nak merantau dan cabar macam-macam tempat kan, tempat ni nampak menarik juga, jalan-jalan dulu tengok macam mana, Loto.  ","Either way, you’re planning to explore everywhere, right? This place looks interesting, so let’s just wander around for now, Loto.  ",ยังไงนายก็จะออกผจญภัยอยู่แล้ว ที่นี่ก็ดูน่าสนใจเหมือนกัน เดินวนดูก่อนเถอะ Loto,"Tutal gusto mo rin namang mag-eksplor at humarap sa hamon, mukhang interesting naman dito — ikutin muna natin, Loto.  ","Kan kamu juga niatnya mau berpetualang ke mana-mana, tempat ini kelihatannya menarik juga, coba keliling dulu aja, Loto.  ","Đằng nào cậu cũng định đi khắp nơi mạo hiểm thử thách mà, chỗ này trông cũng thú vị đấy, cứ đi loanh quanh xem sao đã, Loto.",,,,,,,,,,,,,,,,,,,,,,,,,
10103,,6000,2000,,TRUE,,,,,,,,2,<101>,,{y=600;x=-30},,"Careful, looks like the wild beast ahead is very angry, Loto.  ","Hati-hati, nampaknya raksasa liar di depan tengah marah sangat, Loto.  ","Careful, looks like the wild beast ahead is very angry, Loto.  ",ระวังหน่อยนะ ดูเหมือนสัตว์ประหลาดป่าด้านหน้าจะโมโหอยู่นะ Loto,"Mag-ingat ka, mukhang galit na galit ang halimaw sa unahan, Loto.  ","Hati-hati, sepertinya monster liar di depan sedang sangat marah, Loto.  ","Cẩn thận, có vẻ như con quái vật hoang dã phía trước đang rất tức giận, Loto à.",,,,,,,,,,,,,,,,,,,,,,,,,
10104,,8000,2000,,TRUE,,,,,,,,,<401>,,,,"No big deal, I’ll handle them.  ","Benda kecil je tu, biar aku uruskan.  ","No big deal, I’ll handle them.  ",เรื่องเล็ก ปล่อยให้ฉันจัดการเอง,"Walang problema, ako na bahala diyan.  ","Tenang aja, biar aku yang urus mereka.  ","Chuyện nhỏ thôi, để tôi xử lý chúng cho.",,,,,,,,,,,,,,,,,,,,,,,,,
10110,,,2000,,TRUE,,,,,,,,2,<101>,,{y=600;x=-30},,That was close—I didn’t expect such a hot-headed hero to still be around.  ,"Tadi terkejut betul, tak sangka masih ada wira panas baran macam tu.  ",That was close—I didn’t expect such a hot-headed hero to still be around.  ,เมื่อกี้ตกใจหมดเลย ไม่คิดว่าจะยังมีฮีโร่หัวร้อนแบบนี้อยู่,"Grabe, muntik na! Di ko akalaing may bayani pa rin na mainitin ang ulo.  ","Barusan kaget banget, nggak nyangka masih ada pahlawan yang tempramental begitu.  ","Vừa rồi hú hồn, không ngờ vẫn còn anh hùng nóng tính như vậy.",,,,,,,,,,,,,,,,,,,,,,,,,
10111,,2000,2000,,TRUE,,,,,,,,,<401>,,,,Good thing I’m strong.  ,Nasib baik aku kuat.  ,Good thing I’m strong.  ,โชคดีที่ฉันแข็งแกร่งพอ,Buti na lang at malakas ako.  ,Untung aku kuat.  ,Cũng may là tôi mạnh.,,,,,,,,,,,,,,,,,,,,,,,,,
10112,,4000,2000,,TRUE,,,,,,,,,,70803,,,Woof woof!  ,Guk guk!  ,Woof woof!  ,โฮ่งโฮ่ง,Aw aw!  ,Guk guk.  ,Gâu gâu,,,,,,,,,,,,,,,,,,,,,,,,,
10113,,6000,2000,,TRUE,,,,,,,,,<101>,,{y=600;x=-30},,Whoa! That startled me!  ,"Hoi, terkejut aku!  ",Whoa! That startled me!  ,ว้าย ตกใจหมด!,Aba! Nagulat ako!  ,"Aduh, kaget banget!  ","Ối, giật cả mình!",,,,,,,,,,,,,,,,,,,,,,,,,
10114,,8000,2000,,TRUE,,,,,,,,,<401>,,,,Stop panicking all the time—you’re making me jumpy too. Let me take care of him.  ,"Jangan asyik terkejut macam tu, buat aku pun terkejut sekali, biar aku susun dia.  ",Stop panicking all the time—you’re making me jumpy too. Let me take care of him.  ,อย่าตกใจตลอดแบบนั้นสิ ฉันตกใจตามไปด้วยเลย เดี๋ยวฉันจัดการให้เขาเอง,"Huwag ka ngang laging nagugulat nang ganyan, pati ako nadadamay — hayaan mo, ako na ang bahala sa kanya.  ","Jangan panik terus gitu dong, bikin aku ikut kaget juga, biar aku bantu atur dia.  ","Đừng có lúc nào cũng hốt hoảng lên như thế, làm tôi cũng bị giật mình theo đấy, để tôi sắp xếp cho anh ta.",,,,,,,,,,,,,,,,,,,,,,,,,
10120,,2000,2000,,TRUE,,,,,,,,2,<7>,,,,"Oh, are you here to join the Battle Festival too?  ","Oh, kamu pun datang untuk Festival Pertarungan ke?  ","Oh, are you here to join the Battle Festival too?  ",โอ้ คุณก็มาร่วมงานเทศกาลต่อสู้เหมือนกันเหรอ?,"Uy, dumalo ka rin ba sa Festival ng Labanan?  ","Oh, kamu juga datang untuk ikut Festival Duel ya?  ","Ồ, bạn cũng đến tham gia Lễ hội Đối kháng à?",,,,,,,,,,,,,,,,,,,,,,,,,
10121,,4000,2000,,TRUE,,,,,,,,,<401>,,,,What’s that?  ,Apa tu?  ,What’s that?  ,เทศกาลอะไรเหรอ?,Ano ‘yon?  ,Itu apa?  ,Cái đó là cái gì?,,,,,,,,,,,,,,,,,,,,,,,,,
10122,,6000,2000,,TRUE,,,,,,,,2,<7>,,,,What?! How can you be here without knowing anything about it?  ,Hah! Macam mana kamu boleh datang sini tapi tak tahu apa-apa?  ,What?! How can you be here without knowing anything about it?  ,หา! คุณไม่รู้อะไรเลยแล้วมาที่นี่ได้ไง?,Ha?! Di mo alam pero nandito ka?!  ,"Hah! Kok kamu nggak tahu sih, tapi malah datang ke sini?  ",Hả! Sao cậu không biết gì mà cũng đến đây vậy?,,,,,,,,,,,,,,,,,,,,,,,,,
10123,,8000,2000,,TRUE,,,,,,,,2,<7>,,,,It’s a traditional event of this tribe. It’s about to begin. I came to join and collect information. Do you mind battling me?  ,"Itu acara tradisi puak ni, kebetulan nak mula sekarang, aku datang untuk sertai dan ambil data, kamu tak kisah lawan aku satu pusingan kan?  ",It’s a traditional event of this tribe. It’s about to begin. I came to join and collect information. Do you mind battling me?  ,นั่นคือกิจกรรมดั้งเดิมของเผ่านี้ พอดีว่ากำลังจะเริ่ม ฉันมาเข้าร่วมและเก็บข้อมูล คุณไม่รังเกียจจะประลองกับฉันสักหน่อยใช่ไหม?,"Tradisyon ‘yan ng tribong ‘to — tamang-tama, magsisimula na. Pumunta ako rito para sumali at kumuha ng impormasyon. Ayos lang ba na maglaban tayo?  ","Itu kegiatan tradisional suku ini, pas banget baru mulai, aku datang buat ikut dan ambil dokumentasi, kamu nggak keberatan duel denganku kan?  ","Đó là hoạt động truyền thống của bộ lạc này, vừa hay lúc này sắp bắt đầu, tôi đến để tham gia và lấy tư liệu, bạn không ngại đấu với tôi một trận chứ?",,,,,,,,,,,,,,,,,,,,,,,,,
10124,,10000,2000,,TRUE,,,,,,,,,<401>,,,,"As long as it’s a fight, anyone can play!  ","Asalkan lawan, sesiapa pun boleh main!  ","As long as it’s a fight, anyone can play!  ",แค่เป็นการต่อสู้ ใครมาก็เล่นได้!,"Basta laban, kahit sino puwede sumali!  ","Kalau soal pertarungan, siapa pun boleh ikut!  ","Chỉ cần là đối chiến, ai đến cũng chơi!",,,,,,,,,,,,,,,,,,,,,,,,,
10130,,2000,2000,,TRUE,,,,,,,,2,<7>,,,,Didn’t expect someone so young to fight so well.  ,Tak sangka kamu muda tapi hebat berlawan.  ,Didn’t expect someone so young to fight so well.  ,ไม่อยากเชื่อว่าคุณยังเด็กแต่ฝีมือดีขนาดนี้,Di ko akalain na bata ka pa pero galing mong lumaban!  ,Nggak nyangka kamu masih muda tapi jago bertarung juga.  ,Không ngờ bạn còn trẻ mà chiến đấu giỏi thật đấy.,,,,,,,,,,,,,,,,,,,,,,,,,
10131,,4000,2000,,TRUE,,,,,,,,,<401>,,,,Of course!  ,Dah tentu!  ,Of course!  ,ไม่ต้องพูดก็รู้,Natural lang ‘yan.  ,Tentu saja dong.,Còn phải nói sao.,,,,,,,,,,,,,,,,,,,,,,,,,
10132,,6000,2000,,TRUE,,,,,,,,2,<7>,,,,Looks like you’ve got a bright future ahead. Can I get your autograph in advance?  ,"Nampaknya masa depan kamu sangat cerah, boleh tak saya minta tandatangan sekarang?  ",Looks like you’ve got a bright future ahead. Can I get your autograph in advance?  ,ดูเหมือนอนาคตคุณจะสดใสนะ ขอเซ็นชื่อไว้ก่อนได้ไหม?,Mukhang maliwanag ang kinabukasan mo — puwede ba akong humingi ng autograph?  ,"Sepertinya masa depanmu akan sangat cerah, boleh aku minta tanda tangan dulu nggak?","Có vẻ như tương lai của bạn sẽ rất tươi sáng, tôi có thể xin chữ ký trước được không?",,,,,,,,,,,,,,,,,,,,,,,,,
10133,,8000,2000,,TRUE,,,,,,,,,<401>,,,,"(Takes out pen and paper) Sure, here you go! When I win the championship, come interview me!  ","(Pegang kertas dan pen) Ya, ambil ni, nanti bila aku menang kejuaraan, datang temu ramah aku ya.  ","(Takes out pen and paper) Sure, here you go! When I win the championship, come interview me!  ",(ยื่นกระดาษกับปากกา) ได้เลย รับไว้สิ วันหลังตอนฉันได้แชมป์ก็มาสัมภาษณ์ฉันได้นะ,"(Hawak papel at bolpen) Sige, heto, sa susunod na manalo ako sa championship, i-interviewhin mo ako ha!  ","(Ambil kertas dan pena) Ya, ambil saja, nanti kalau aku menang kejuaraan, datang wawancara aku ya.","(Cầm lấy giấy bút) Vâng, cầm lấy đi, sau này khi tôi thắng giải vô địch thì đến phỏng vấn tôi nhé.",,,,,,,,,,,,,,,,,,,,,,,,,
10134,,10000,2000,,TRUE,,,,,,,,2,<7>,,,,"Wow, big ambition! Deal!  ","Wah, cita-cita tinggi tu, baiklah, setuju!  ","Wow, big ambition! Deal!  ",โอ้ เป้าหมายยิ่งใหญ่นะ งั้นตกลงตามนี้เลย!,"Astig! Sige, deal tayo diyan!  ","Wah, cita-citanya tinggi, kalau begitu kita sepakat ya!","Chà, chí hướng cao đấy, vậy thì nhất trí nhé!",,,,,,,,,,,,,,,,,,,,,,,,,
10140,,2000,2000,,TRUE,,,,,,,,2,<302>,,,,"Hello there, new Trainer. At your current level, you’re not strong enough to join the festival yet.  ","Hai kawan, jurulatih baru sampai. Dengan tahap sekarang ni, kamu belum layak masuk festival ni.  ","Hello there, new Trainer. At your current level, you’re not strong enough to join the festival yet.  ",สวัสดี เทรนเนอร์หน้าใหม่ จากฝีมือแบบนี้คุณยังไม่พร้อมเข้าร่วมเทศกาลหรอกนะ,"Hi! Ikaw ang bagong trainer, ‘di ba? Sa totoo lang, hindi ka pa handa sumali sa festival.  ","Halo, pelatih baru. Dengan kemampuanmu sekarang, kamu belum cukup kuat untuk ikut festival.","Chào bạn, huấn luyện viên mới đến. Với trình độ này thì bạn chưa đủ sức tham gia lễ hội đâu.",,,,,,,,,,,,,,,,,,,,,,,,,
10141,,4000,2000,,TRUE,,,,,,,,,<401>,,,,"Hey pretty lady, I think I’ve fallen for you. Stick with me later, okay?  ","Cantiknya kamu, aku dah jatuh hati, nanti ikut abang ya!  ","Hey pretty lady, I think I’ve fallen for you. Stick with me later, okay?  ",สาวสวยจังเลย พี่ชอบน้องแล้วล่ะ เดี๋ยวไปกับพี่นะ!,"Uy ganda, gusto na kita! Mamaya sumama ka na sa akin ha~  ","Cantik, aku suka kamu deh, nanti ikut aku ya!","Em đẹp ơi, anh thích em rồi đó, lát nữa đi theo anh nha!",,,,,,,,,,,,,,,,,,,,,,,,,
