VariableName,tab,sender_cn,sender_vn,sender_th,sender_in,sender,subject_ma,subject_ph,subject_en,subject_vn,subject_th,subject_in,subject,attachs,special,content_cn,content_vn,content,content_ma,content_ph,content_en,content_th,content_in
37,,Admin,Admin,Admin,Admin,Admin,Ganjaran Tambahan Dungeon Guild,Karagdagang Gantimpala para sa Guild Dungeon,Extra Guild Dungeon Reward,Extra Guild Dungeon Reward,รางวัลพิเศษดันเจี้ยนกิลด์,Hadiah Tambahan Dungeon Guild,Extra Guild Dungeon Reward,,,Các bạn thân mến:\n Hiệu suất của bạn trong phiên bản Guild %s rất xuất sắc. Phần thưởng ngẫu nhiên cho sát thương đặc biệt của BOSS đã được gửi qua email. Vui lòng kiểm tra nó kịp thời. Tôi hy vọng các thành viên khác sẽ tiếp tục nỗ lực và leo lên những tầm cao hơn nữa. \nChúc bạn chơi game vui vẻ!,Dear players:\n Your performance in the Guild version %s was excellent. The random reward for special BOSS damage has been sent via email. Please check it in time. I hope all members continue to strive and reach even greater heights. \nEnjoy the game!  ,Dear players:\n Your performance in the Guild version %s was excellent. The random reward for special BOSS damage has been sent via email. Please check it in time. I hope all members continue to strive and reach even greater heights. \nEnjoy the game!  ,Rakan-rakan yang dihormati:\n Prestasi anda dalam versi Persekutuan %s sangat cemerlang. Ganjaran rawak untuk kerosakan khas BOSS telah dihantar melalui emel. Sila semak tepat pada masanya. Saya berharap ahli lain akan terus berusaha dan mencapai tahap yang lebih tinggi. \n Selamat bermain!,Mga mahal naming manlalaro:\n Napakahusay ng iyong performance sa Guild version %s. Naipadala na ang random reward para sa special BOSS damage sa email. Pakisuri ito kaagad. Nawa'y magpatuloy ang pagsusumikap ng iba. \nMag-enjoy sa laro!  ,Dear players:\n Your performance in the Guild version %s was excellent. The random reward for special BOSS damage has been sent via email. Please check it in time. I hope all members continue to strive and reach even greater heights. \nEnjoy the game!  ,เพื่อนๆ ที่รัก:\n ผลงานของคุณในเวอร์ชันกิลด์ %s ยอดเยี่ยมมาก รางวัลสุ่มจากความเสียหายพิเศษของ BOSS ได้ถูกส่งทางอีเมลแล้ว กรุณาตรวจสอบให้ทันเวลา หวังว่าสมาชิกคนอื่นจะพยายามต่อไปและก้าวสู่ระดับที่สูงขึ้น \nขอให้สนุกกับเกม!,Teman-teman yang terhormat:\n Performa Anda dalam mode Guild %s sangat luar biasa. Hadiah acak untuk kerusakan khusus BOSS telah dikirim melalui email. Silakan periksa tepat waktu. Kami berharap anggota lain terus berusaha meraih lebih tinggi. \nSelamat bermain!  
38,,Admin,Admin,Admin,Admin,Admin,Ganjaran Pemenang Kejohanan Seni Pertempuran,Gantimpala sa Nanalo ng Martial Arts Tournament,Martial Arts Tournament Champion Reward,Martial Arts Tournament Champion Reward,รางวัลผู้ชนะศึกศิลปะการต่อสู้,Hadiah Juara Turnamen Seni Bela Diri,Martial Arts Tournament Champion Reward,,,"Các bạn thân mến:\n Bạn đã đạt được %d thắng, %d thua và %d điểm trong giải đấu võ thuật. Phần thưởng trận chiến đã được gửi qua email, vui lòng kiểm tra kịp thời. \nChúc bạn chơi game vui vẻ!","Dear players:\n You achieved %d wins, %d losses, and %d points in the Martial Arts Tournament. The battle reward has been sent via email, please check it in time. \nEnjoy the game!  ","Dear players:\n You achieved %d wins, %d losses, and %d points in the Martial Arts Tournament. The battle reward has been sent via email, please check it in time. \nEnjoy the game!  ","Rakan-rakan yang dihormati:\n Anda telah memperoleh %d menang, %d kalah dan %d mata dalam kejohanan seni bela diri. Ganjaran pertempuran telah dihantar melalui emel, sila semak tepat pada masanya. \n Selamat bermain!","Mga mahal naming manlalaro:\n Nakuha mo ang %d panalo, %d talo, at %d puntos sa martial arts tournament. Naipadala na ang battle reward sa email, pakisuri kaagad. \nMag-enjoy sa laro!  ","Dear players:\n You achieved %d wins, %d losses, and %d points in the Martial Arts Tournament. The battle reward has been sent via email, please check it in time. \nEnjoy the game!  ",เพื่อนๆ ที่รัก:\n คุณชนะ %d แพ้ %d และได้ %d แต้มในการแข่งขันศิลปะการต่อสู้ รางวัลการแข่งขันได้ถูกส่งทางอีเมลแล้ว กรุณาตรวจสอบให้ทันเวลา \nขอให้สนุกกับเกม!,"Teman-teman yang terhormat:\n Anda telah memenangkan %d kali, kalah %d kali, dan memperoleh %d poin dalam turnamen seni bela diri. Hadiah pertandingan telah dikirim melalui email, silakan periksa tepat waktu. \nSelamat bermain!  "
39,,Admin,Admin,Admin,Admin,Admin,Ganjaran Kedudukan Kejohanan Seni Pertempuran,Gantimpala sa Ranking ng Martial Arts Tournament,Martial Arts Tournament Rank Reward,Martial Arts Tournament Rank Reward,รางวัลอันดับศึกศิลปะการต่อสู้,Hadiah Peringkat Turnamen Seni Bela Diri,Martial Arts Tournament Rank Reward,,,"Các bạn thân mến:\n Chúc mừng bạn đã đạt thứ hạng %d trong cuộc thi võ thuật. Phần thưởng xếp hạng đã được gửi qua email, vui lòng kiểm tra kịp thời. Tôi hy vọng sẽ tiếp tục làm tốt công việc và dũng cảm vươn tới những tầm cao mới. \nChúc bạn chơi game vui vẻ!","Dear players:\n Congratulations on ranking %d in the Martial Arts Tournament. The ranking reward has been sent via email, please check it in time. I hope you continue to do well and bravely reach new heights. \nEnjoy the game!  ","Dear players:\n Congratulations on ranking %d in the Martial Arts Tournament. The ranking reward has been sent via email, please check it in time. I hope you continue to do well and bravely reach new heights. \nEnjoy the game!  ","Rakan-rakan yang dihormati:\n Tahniah kerana mencapai kedudukan %d dalam kejohanan seni bela diri. Ganjaran kedudukan telah dihantar melalui emel, sila semak tepat pada masanya. Saya berharap anda akan terus berusaha dan berani menuju ke tahap yang lebih tinggi. \n Selamat bermain!","Mga mahal naming manlalaro:\n Binabati ka sa ika-%d ranggo sa martial arts tournament. Naipadala na ang ranking reward sa email, pakisuri ito kaagad. Nawa'y magpatuloy kang magtagumpay. \nMag-enjoy sa laro!  ","Dear players:\n Congratulations on ranking %d in the Martial Arts Tournament. The ranking reward has been sent via email, please check it in time. I hope you continue to do well and bravely reach new heights. \nEnjoy the game!  ",เพื่อนๆ ที่รัก:\n ขอแสดงความยินดี คุณได้อันดับที่ %d ในการแข่งขันศิลปะการต่อสู้ รางวัลอันดับได้ถูกส่งทางอีเมลแล้ว กรุณาตรวจสอบให้ทันเวลา หวังว่าคุณจะทำได้ดีต่อไปและกล้าหาญขึ้นสู่ระดับใหม่ \nขอให้สนุกกับเกม!,"Teman-teman yang terhormat:\n Selamat! Anda berada di peringkat %d dalam kompetisi seni bela diri. Hadiah peringkat telah dikirim melalui email, silakan periksa tepat waktu. Terus berusaha dan raih puncak baru! \nSelamat bermain!  "
40,,Admin,Admin,Admin,Admin,Admin,Ganjaran Pertaruhan Kejohanan Seni Pertempuran,Gantimpala sa Pagtaya sa Martial Arts Tournament,Martial Arts Tournament Betting Reward,Martial Arts Tournament Betting Reward,รางวัลเดิมพันศึกศิลปะการต่อสู้,Hadiah Taruhan Turnamen Seni Bela Diri,Martial Arts Tournament Betting Reward,,,"Các bạn thân mến:\n Chúc mừng bạn đã dự đoán thành công %s giành chức vô địch trong cuộc thi đấu võ thuật. Phần thưởng cá cược đã được gửi qua email, vui lòng kiểm tra kịp thời. \nChúc bạn chơi game vui vẻ!","Dear players:\n Congratulations on correctly predicting that %s would win the Martial Arts Tournament. The betting reward has been sent via email, please check it in time. \nEnjoy the game!  ","Dear players:\n Congratulations on correctly predicting that %s would win the Martial Arts Tournament. The betting reward has been sent via email, please check it in time. \nEnjoy the game!  ","Rakan-rakan yang dihormati:\n Tahniah kerana berjaya meramalkan %s sebagai juara dalam kejohanan seni bela diri. Ganjaran pertaruhan telah dihantar melalui emel, sila semak tepat pada masanya. \n Selamat bermain!","Mga mahal naming manlalaro:\n Binabati ka sa matagumpay na pag-predict ng pagkapanalo ni %s sa martial arts tournament. Naipadala na ang betting reward sa email, pakisuri ito. \nMag-enjoy sa laro!  ","Dear players:\n Congratulations on correctly predicting that %s would win the Martial Arts Tournament. The betting reward has been sent via email, please check it in time. \nEnjoy the game!  ",เพื่อนๆ ที่รัก:\n ขอแสดงความยินดี คุณทายถูกว่า %s ชนะในการแข่งขันศิลปะการต่อสู้ รางวัลเดิมพันได้ถูกส่งทางอีเมลแล้ว กรุณาตรวจสอบให้ทันเวลา \nขอให้สนุกกับเกม!,"Teman-teman yang terhormat:\n Selamat! Anda berhasil memprediksi %s sebagai juara dalam kompetisi seni bela diri. Hadiah taruhan telah dikirim melalui email, silakan periksa tepat waktu. \nSelamat bermain!  "
41,,Admin,Admin,Admin,Admin,Admin,Pulangan Pertaruhan Kejohanan Seni Pertempuran,Refund ng Taya sa Martial Arts Tournament,Martial Arts Tournament Bet Refund,Martial Arts Tournament Bet Refund,คืนเดิมพันศึกศิลปะการต่อสู้,Pengembalian Taruhan Turnamen Seni Bela Diri,Martial Arts Tournament Bet Refund,,,"Các bạn thân mến:\n Nếu %s bạn đặt cược lọt vào top 8 trong cuộc thi đấu võ thuật, một nửa số tiền đặt cược sẽ được hoàn lại. Vui lòng kiểm tra nó kịp thời. \nChúc bạn chơi game vui vẻ!","Dear players:\n If the %s you bet on reaches the top 8 of the Martial Arts Tournament, half of the bet amount will be refunded. Please check it in time. \nEnjoy the game!  ","Dear players:\n If the %s you bet on reaches the top 8 of the Martial Arts Tournament, half of the bet amount will be refunded. Please check it in time. \nEnjoy the game!  ","Rakan-rakan yang dihormati:\n Jika %s yang anda pertaruhkan mencapai 8 teratas dalam kejohanan seni bela diri, separuh daripada pertaruhan akan dikembalikan. Sila semak tepat pada masanya. \n Selamat bermain!","Mga mahal naming manlalaro:\n Dahil pumasok sa top 8 si %s na tinayaan mo sa martial arts tournament, kalahati ng iyong taya ay ibinalik. Pakisuri ito. \nMag-enjoy sa laro!  ","Dear players:\n If the %s you bet on reaches the top 8 of the Martial Arts Tournament, half of the bet amount will be refunded. Please check it in time. \nEnjoy the game!  ",เพื่อนๆ ที่รัก:\n หาก %s ที่คุณเดิมพันเข้า Top 8 ในการแข่งขันศิลปะการต่อสู้ จะได้รับเงินเดิมพันคืนครึ่งหนึ่ง กรุณาตรวจสอบให้ทันเวลา \nขอให้สนุกกับเกม!,"Teman-teman yang terhormat:\n Jika %s yang Anda pertaruhkan masuk 8 besar dalam kompetisi seni bela diri, maka setengah dari taruhan akan dikembalikan. Silakan periksa tepat waktu. \nSelamat bermain!  "
42,,Admin,Admin,Admin,Admin,Admin,Keputusan Pertaruhan Kejohanan Seni Pertempuran,Resulta ng Taya sa Martial Arts Tournament,Martial Arts Tournament Betting Result,Martial Arts Tournament Betting Result,ผลการเดิมพันศึกศิลปะการต่อสู้,Hasil Taruhan Turnamen Seni Bela Diri,Martial Arts Tournament Betting Result,,,"Các bạn thân mến:\n %s bạn đặt cược đã không lọt vào top 8 trong cuộc thi võ thuật, thật đáng tiếc!\n Chúc các bạn chơi game vui vẻ!","Dear players:\n The %s you bet on did not make it to the top 8 of the Martial Arts Tournament, how unfortunate! \nEnjoy the game!  ","Dear players:\n The %s you bet on did not make it to the top 8 of the Martial Arts Tournament, how unfortunate! \nEnjoy the game!  ","Rakan-rakan yang dihormati:\n Malangnya, %s yang anda pertaruhkan tidak mencapai 8 teratas dalam kejohanan seni bela diri! \n Selamat bermain!","Mga mahal naming manlalaro:\n Nakalulungkot, si %s na tinayaan mo ay hindi pumasok sa top 8 ng martial arts tournament. \nMag-enjoy sa laro!  ","Dear players:\n The %s you bet on did not make it to the top 8 of the Martial Arts Tournament, how unfortunate! \nEnjoy the game!  ",เพื่อนๆ ที่รัก:\n %s ที่คุณเดิมพันไม่สามารถเข้าสู่ Top 8 ในการแข่งขันศิลปะการต่อสู้ น่าเสียดายจริงๆ! \nขอให้สนุกกับเกม!,"Teman-teman yang terhormat:\n Sayang sekali, %s yang Anda pertaruhkan tidak masuk 8 besar dalam kompetisi seni bela diri! \nSelamat bermain!  "
43,,Admin,Admin,Admin,Admin,Admin,Mendapatkan Gelaran,Nakamit ang Pamagat,Title Achieved,Title Achieved,ได้รับตำแหน่ง,Mendapatkan Gelar,Title Achieved,,,"Các bạn thân mến:\n Chúc mừng bạn đã giành được %s, hãy sử dụng danh hiệu trong sách danh hiệu!\n Đấu trường đặt lại danh hiệu vào lúc 21:00 hàng ngày, đấu trường liên máy chủ và tháp thử nghiệm liên máy chủ đặt lại danh hiệu vào lúc 22:00 hàng ngày trong suốt mùa giải và vào cuối mùa giải, Budokai số 1 thế giới đặt lại danh hiệu vào cuối mùa giải và các hạng mục xếp hạng khác đặt lại danh hiệu vào lúc 5:00 hàng ngày. Hãy tiếp tục làm việc chăm chỉ để duy trì thứ hạng của bạn ~","Dear players:\n Congratulations on obtaining the title %s, please use the title in the Title Book! \nArena resets title at 21:00 daily, Cross-server Arena and Inter-server Trial Tower reset titles at 22:00 daily during the season and at season end, World No.1 Budokai resets at the end of season, and other rankings reset at 5:00 daily. Keep working hard to maintain your rank ~  ","Dear players:\n Congratulations on obtaining the title %s, please use the title in the Title Book! \nArena resets title at 21:00 daily, Cross-server Arena and Inter-server Trial Tower reset titles at 22:00 daily during the season and at season end, World No.1 Budokai resets at the end of season, and other rankings reset at 5:00 daily. Keep working hard to maintain your rank ~  ","Rakan-rakan yang dihormati:\n Tahniah kerana memperoleh %s, sila gunakan gelaran dalam Buku Gelaran!\n Arena akan menetapkan semula gelaran pada jam 21:00 setiap hari, arena rentas pelayan dan menara ujian rentas pelayan akan menetapkan semula pada jam 22:00 setiap hari sepanjang musim, dan kejohanan dunia No.1 akan menetapkan semula pada akhir musim, manakala kategori kedudukan lain ditetapkan semula pada jam 5:00 setiap hari. Teruskan berusaha untuk mengekalkan kedudukan anda ~","Mga mahal naming manlalaro:\n Binabati ka sa pagkamit ng %s, pakigamit ang titulo sa title book!\n Ang Arena titles ay nire-reset tuwing 21:00, ang cross-server Arena at Trial Tower titles ay nire-reset tuwing 22:00, World Budokai titles sa pagtatapos ng season, at iba pang ranking titles tuwing 5:00 araw-araw. Magpatuloy sa pagsusumikap upang mapanatili ang iyong ranggo~  ","Dear players:\n Congratulations on obtaining the title %s, please use the title in the Title Book! \nArena resets title at 21:00 daily, Cross-server Arena and Inter-server Trial Tower reset titles at 22:00 daily during the season and at season end, World No.1 Budokai resets at the end of season, and other rankings reset at 5:00 daily. Keep working hard to maintain your rank ~  ",เพื่อนๆ ที่รัก:\n ขอแสดงความยินดี คุณได้รับ %s โปรดใช้งานฉายานั้นในสมุดฉายา! \nอันดับอารีน่าจะรีเซ็ตเวลา 21:00 ทุกวัน อารีน่ารวมเซิร์ฟเวอร์และหอทดลองจะรีเซ็ตฉายาเวลา 22:00 ตลอดฤดูกาลและเมื่อสิ้นสุดฤดูกาล Budokai โลกจะรีเซ็ตตอนสิ้นฤดูกาล อันดับอื่นๆ รีเซ็ตเวลา 5:00 ทุกวัน พยายามรักษาอันดับของคุณให้ได้~,"Teman-teman yang terhormat:\n Selamat atas perolehan %s, silakan gunakan gelar tersebut dalam buku gelar!\n Arena akan reset gelar setiap pukul 21:00 setiap hari, arena lintas server dan menara uji lintas server akan reset gelar setiap pukul 22:00 selama musim berlangsung dan pada akhir musim, Budokai Dunia akan reset gelar di akhir musim, dan kategori peringkat lainnya reset setiap pukul 5:00 harian. Teruslah berusaha untuk mempertahankan peringkat Anda~  "
44,,Admin,Admin,Admin,Admin,Admin,Gelaran Arena,Pamagat sa Arena,Arena Title,Arena Title,ตำแหน่งอารีนา,Gelar Arena,Arena Title,,,Các bạn thân mến:\n Chúc mừng các bạn đã thắng thành công %s\n Chúc các bạn chơi game vui vẻ!,Dear players:\n Congratulations on successfully winning %s \nEnjoy the game!  ,Dear players:\n Congratulations on successfully winning %s \nEnjoy the game!  ,Rakan-rakan yang dihormati:\n Tahniah kerana telah menang %s\n Selamat bermain!,Mga mahal naming manlalaro:\n Binabati kayo sa matagumpay na pagkapanalo ng %s \nMag-enjoy sa laro!  ,Dear players:\n Congratulations on successfully winning %s \nEnjoy the game!  ,เพื่อนๆ ที่รัก:\n ขอแสดงความยินดีที่คุณชนะ %s \nขอให้สนุกกับเกม!,Teman-teman yang terhormat:\n Selamat atas kemenangan Anda sebanyak %s! \nSelamat bermain!  
45,,Admin,Admin,Admin,Admin,Admin,Daftar Kelayakan Perang Guild,Pagrehistro sa Guild War Qualifier,Guild War Qualifier Registration,Guild War Qualifier Registration,สมัครรอบคัดเลือกสงครามกิลด์,Pendaftaran Kualifikasi Perang Guild,Guild War Qualifier Registration,,,Các bạn thân mến:\n Đây là phần thưởng đăng ký vòng loại chiến tranh bang hội của bạn!\n Chúc các bạn chơi game vui vẻ!,Dear players:\n This is your Guild War Qualification reward! \nEnjoy the game!  ,Dear players:\n This is your Guild War Qualification reward! \nEnjoy the game!  ,Rakan-rakan yang dihormati:\n Ini adalah ganjaran pendaftaran untuk kelayakan Perang Persekutuan anda!\n Selamat bermain!,Mga mahal naming manlalaro:\n Heto ang inyong registration reward para sa Guild War qualifiers!\nMag-enjoy sa laro!  ,Dear players:\n This is your Guild War Qualification reward! \nEnjoy the game!  ,เพื่อนๆ ที่รัก:\n นี่คือรางวัลลงทะเบียนรอบคัดเลือกสงครามกิลด์ของคุณ! \nขอให้สนุกกับเกม!,Teman-teman yang terhormat:\n Ini adalah hadiah pendaftaran babak penyisihan perang guild Anda! \nSelamat bermain!  
46,,Admin,Admin,Admin,Admin,Admin,Daftar Akhir Perang Guild,Pagrehistro sa Guild War Finals,Guild War Finals Registration,Guild War Finals Registration,สมัครรอบสุดท้ายสงครามกิลด์,Pendaftaran Final Perang Guild,Guild War Finals Registration,,,Các bạn thân mến:\n Đây là phần thưởng đăng ký tham gia Vòng chung kết Trận chiến Bang hội!\n Chúc các bạn chơi game vui vẻ!,Dear players:\n This is your Guild War Finals participation reward! \nEnjoy the game!  ,Dear players:\n This is your Guild War Finals participation reward! \nEnjoy the game!  ,Rakan-rakan yang dihormati:\n Ini adalah ganjaran pendaftaran untuk pusingan akhir Perang Persekutuan!\n Selamat bermain!,Mga mahal naming manlalaro:\n Heto ang inyong registration reward para sa Guild War Finals!\nMag-enjoy sa laro!  ,Dear players:\n This is your Guild War Finals participation reward! \nEnjoy the game!  ,เพื่อนๆ ที่รัก:\n นี่คือรางวัลลงทะเบียนรอบสุดท้ายของสงครามกิลด์ของคุณ! \nขอให้สนุกกับเกม!,Teman-teman yang terhormat:\n Ini adalah hadiah pendaftaran untuk Final Pertempuran Guild Anda! \nSelamat bermain!  
47,,Admin,Admin,Admin,Admin,Admin,Kemenangan Perang Guild,Panalo sa Guild War,Guild War Victory,Guild War Victory,ชัยชนะสงครามกิลด์,Kemenangan Perang Guild,Guild War Victory,,,Các bạn thân mến:\n Bạn đã thắng %d trò chơi trong trận chiến bang hội này. Đây là phần thưởng của bạn (phần thưởng tối đa trong một ngày là 6)!\n Chúc bạn chơi game vui vẻ!,Dear players:\n You won %d games in this Guild War. This is your reward (max daily reward is 6)! \nEnjoy the game!  ,Dear players:\n You won %d games in this Guild War. This is your reward (max daily reward is 6)! \nEnjoy the game!  ,Rakan-rakan yang dihormati:\n Anda telah menang %d perlawanan dalam Perang Persekutuan ini. Ini adalah ganjaran anda (ganjaran maksimum dalam sehari ialah 6)!\n Selamat bermain!,Mga mahal naming manlalaro:\n Nanalo ka ng %d na laro sa Guild War. Heto ang iyong reward (maximum 6 rewards kada araw)!\nMag-enjoy sa laro!  ,Dear players:\n You won %d games in this Guild War. This is your reward (max daily reward is 6)! \nEnjoy the game!  ,เพื่อนๆ ที่รัก:\n คุณชนะ %d เกมในสงครามกิลด์ครั้งนี้ นี่คือรางวัลของคุณ (สูงสุดต่อวันคือ 6 รางวัล)! \nขอให้สนุกกับเกม!,Teman-teman yang terhormat:\n Anda memenangkan %d pertandingan dalam pertempuran guild ini. Ini adalah hadiah Anda (maksimal 6 hadiah per hari)! \nSelamat bermain!  
48,,Admin,Admin,Admin,Admin,Admin,Kedudukan Guild dalam Perang Guild,Ranking ng Guild sa Guild War,Guild War Guild Ranking,Guild War Guild Ranking,จัดอันดับกิลด์ในสงครามกิลด์,Peringkat Guild dalam Perang Guild,Guild War Guild Ranking,,,Các bạn thân mến:\n Bang hội mà bạn đang tham gia vào cuộc chiến bang hội này được xếp hạng %d. Đây là phần thưởng của bạn!\n Tôi chúc bạn chơi game vui vẻ!,Dear players:\n Your guild ranked %d in this Guild War. This is your reward! \nEnjoy the game!  ,Dear players:\n Your guild ranked %d in this Guild War. This is your reward! \nEnjoy the game!  ,Rakan-rakan yang dihormati:\n Persekutuan anda menduduki tempat ke-%d dalam Perang Persekutuan ini. Ini adalah ganjaran anda!\n Selamat bermain!,Mga mahal naming manlalaro:\n Ang guild mo ay nagtamo ng ranggo %d sa Guild War. Heto ang iyong reward!\nMag-enjoy sa laro!  ,Dear players:\n Your guild ranked %d in this Guild War. This is your reward! \nEnjoy the game!  ,เพื่อนๆ ที่รัก:\n กิลด์ของคุณในการสงครามกิลด์ครั้งนี้ได้อันดับที่ %d นี่คือรางวัลของคุณ! \nขอให้สนุกกับเกม!,Teman-teman yang terhormat:\n Guild Anda menempati peringkat %d dalam pertempuran guild ini. Ini adalah hadiah Anda! \nSelamat bermain!  
49,,Admin,Admin,Admin,Admin,Admin,Ganjaran Pertaruhan Perang Guild,Gantimpala sa Pagtaya sa Guild War,Guild War Betting Reward,Guild War Betting Reward,รางวัลเดิมพันสงครามกิลด์,Hadiah Taruhan Perang Guild,Guild War Betting Reward,,,"Các bạn thân mến:\n Chúc mừng bạn đã dự đoán thành công %s giành chức vô địch trong trận chiến bang hội. Phần thưởng cá cược đã được gửi qua email, vui lòng kiểm tra kịp thời. \nChúc bạn chơi game vui vẻ!","Dear players:\n Congratulations on correctly predicting that %s would win the Guild War. The betting reward has been sent via email, please check it in time. \nEnjoy the game!  ","Dear players:\n Congratulations on correctly predicting that %s would win the Guild War. The betting reward has been sent via email, please check it in time. \nEnjoy the game!  ","Rakan-rakan yang dihormati:\n Tahniah kerana berjaya meramalkan %s sebagai juara dalam Perang Persekutuan. Ganjaran pertaruhan telah dihantar melalui emel, sila semak tepat pada masanya. \n Selamat bermain!","Mga mahal naming manlalaro:\n Binabati ka sa matagumpay na pag-predict ng pagkapanalo ni %s sa Guild War. Naipadala na ang betting reward sa email, pakisuri ito. \nMag-enjoy sa laro!  ","Dear players:\n Congratulations on correctly predicting that %s would win the Guild War. The betting reward has been sent via email, please check it in time. \nEnjoy the game!  ",เพื่อนๆ ที่รัก:\n ขอแสดงความยินดี คุณทายถูกว่า %s จะคว้าแชมป์สงครามกิลด์ รางวัลเดิมพันได้ถูกส่งทางอีเมลแล้ว กรุณาตรวจสอบให้ทันเวลา \nขอให้สนุกกับเกม!,"Teman-teman yang terhormat:\n Selamat! Anda berhasil memprediksi %s sebagai juara dalam pertempuran guild. Hadiah taruhan telah dikirim melalui email, silakan periksa tepat waktu. \nSelamat bermain!  "
50,,Admin,Admin,Admin,Admin,Admin,Pulangan Pertaruhan Perang Guild,Refund ng Taya sa Guild War,Guild War Bet Refund,Guild War Bet Refund,คืนเดิมพันสงครามกิลด์,Pengembalian Taruhan Perang Guild,Guild War Bet Refund,,,Các bạn thân mến:\n %s bạn đặt cược sẽ vào trận chung kết trong trận chiến bang hội và một nửa số tiền đặt cược sẽ được hoàn lại. Vui lòng kiểm tra nó kịp thời. \nChúc bạn chơi game vui vẻ!,Dear players:\n The %s you bet on reached the finals of the Guild War and half the bet amount has been refunded. Please check it in time. \nEnjoy the game!  ,Dear players:\n The %s you bet on reached the finals of the Guild War and half the bet amount has been refunded. Please check it in time. \nEnjoy the game!  ,Rakan-rakan yang dihormati:\n %s yang anda pertaruhkan berjaya ke final Perang Persekutuan dan separuh daripada pertaruhan anda akan dikembalikan. Sila semak tepat pada masanya. \n Selamat bermain!,Mga mahal naming manlalaro:\n Si %s na tinayaan mo ay umabot sa finals ng Guild War. Kalahati ng iyong taya ay ibinalik. Pakisuri ito. \nMag-enjoy sa laro!  ,Dear players:\n The %s you bet on reached the finals of the Guild War and half the bet amount has been refunded. Please check it in time. \nEnjoy the game!  ,เพื่อนๆ ที่รัก:\n %s ที่คุณเดิมพันเข้าสู่รอบชิงในสงครามกิลด์ คุณจะได้รับเงินเดิมพันคืนครึ่งหนึ่ง กรุณาตรวจสอบให้ทันเวลา \nขอให้สนุกกับเกม!,"Teman-teman yang terhormat:\n %s yang Anda pertaruhkan masuk ke babak final dalam pertempuran guild, dan setengah taruhan akan dikembalikan. Silakan periksa tepat waktu. \nSelamat bermain!  "
51,,Admin,Admin,Admin,Admin,Admin,Keputusan Pertaruhan Perang Bang,Resulta ng pagtaya sa Guild War,War Battle Betting Results,War Battle Betting Results,ผลการเดิมพันศึกสงคราม,Hasil Taruhan Perang,War Battle Betting Results,,,"Các bạn thân mến:\n %s các bạn đặt cược đã không vào được trận chung kết trong bang hội, thật đáng tiếc!\n Chúc các bạn chơi game vui vẻ!","Dear players:\n The %s you bet on did not reach the finals of the Guild War, how unfortunate! \nEnjoy the game!  ","Dear players:\n The %s you bet on did not reach the finals of the Guild War, how unfortunate! \nEnjoy the game!  ","Rakan-rakan yang dihormati:\n Malangnya, %s yang anda pertaruhkan tidak berjaya ke final Perang Persekutuan! \n Selamat bermain!","Mga mahal naming manlalaro:\n Nakalulungkot, si %s na tinayaan mo ay hindi umabot sa finals ng Guild War. \nMag-enjoy sa laro!  ","Dear players:\n The %s you bet on did not reach the finals of the Guild War, how unfortunate! \nEnjoy the game!  ",เพื่อนๆ ที่รัก:\n %s ที่คุณเดิมพันไม่ได้เข้าสู่รอบชิงในสงครามกิลด์ น่าเสียดายจริงๆ! \nขอให้สนุกกับเกม!,Teman-teman yang terhormat:\n Sayang sekali! %s yang Anda pertaruhkan tidak berhasil mencapai final dalam pertempuran guild! \nSelamat bermain!
