VariableName,name_cn,name_tw,name,name_vn,name_en,name_th,name_in,name_ph,name_ma,_beizhu,isShow,icon,desc_cn,desc_tw,desc,desc_vn,desc_en,desc_th,desc_in,desc_ph,desc_ma,desc1_cn,desc1_in,desc1,desc1_vn,desc1_th,quality,use,type,stackMax,specialArgsMap,specialArgsMap_vn,specialArgsMap_kr,specialArgsMap_en,specialArgsMap_tw,effBtn,pageTag,sellPrice,autoSell,sortType,sortValue,fragID,produceGate1,produceGate2,produceGate3,produceGate4,produceGate5,produceGate6,produceGate7,produceDesc_cn,produceDesc_tw,produceDesc,produceDesc_vn,produceDesc_en,produceDesc_th,produceDesc_in,produceDesc_ph,produceDesc_ma,effect,rebirthRMB,dateType,expireDate,expireTime,timeOut,gateDropC,drawItemsLibC,regain,isLimitDrop,languages
970,,,Random Green Battle Rune Chest  ,Rương Chiến Văn Lục Ngẫu Nhiên,Random Green Battle Rune Chest  ,หีบอักษรรบสุ่ม - สีเขียว  ,Peti Rune Pertempuran Acak - Hijau  ,Random na Kabaong ng Battle Rune - Berde  ,Petik Rune Perang Rawak - Hijau  ,,,config/item/box/box_40_1.png,,,Open to randomly receive battle rune of Green quality.,Mở ra có thể ngẫu nhiên nhận được chiến văn phẩm chất Lục.,Open to randomly receive battle rune of Green quality.,เปิดเพื่อสุ่มรับรันยุทธคุณภาพเขียว,Buka untuk secara acak menerima rune tempur kualitas Hijau.,Buksan upang random na makatanggap ng battle rune kalidad Green.,Buka untuk secara rawak menerima rune pertempuran kualiti Hijau.,,,,,,2,,7,999,{level=<<1;150;8011>>},{level=<<1;150;8011>>},,{level=<<1;150;8011>>},,<3>,<1>,,,99,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
971,,,Random Blue Battle Rune Chest  ,Rương Chiến Văn Lam Ngẫu Nhiên,Random Blue Battle Rune Chest  ,หีบอักษรรบสุ่ม - สีฟ้า  ,Peti Rune Pertempuran Acak - Biru  ,Random na Kabaong ng Battle Rune - Asul  ,Petik Rune Perang Rawak - Biru  ,,,config/item/box/box_40_1.png,,,Open to randomly receive battle rune of Blue quality.,Có thể ngẫu nhiên nhận được chiến văn phẩm chất lam sau khi mở.,Open to randomly receive battle rune of Blue quality.,เปิดเพื่อสุ่มรับรันยุทธคุณภาพน้ำเงิน,Buka untuk secara acak menerima rune tempur kualitas Biru.,Buksan upang random na makatanggap ng battle rune kalidad Blue.,Buka untuk secara rawak menerima rune pertempuran kualiti Biru.,,,,,,3,,7,999,{level=<<1;150;8012>>},{level=<<1;150;8012>>},,{level=<<1;150;8012>>},,<3>,<1>,,,99,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
972,,,Random Purple Battle Rune Chest  ,Rương Chiến Văn Tím Ngẫu Nhiên,Random Purple Battle Rune Chest  ,หีบอักษรรบสุ่ม - สีม่วง  ,Peti Rune Pertempuran Acak - Ungu  ,Random na Kabaong ng Battle Rune - Lila  ,Petik Rune Perang Rawak - Ungu  ,,,config/item/box/box_40_2.png,,,Open to randomly receive battle rune of Purple quality.,Mở ra có thể ngẫu nhiên nhận được chiến văn phẩm chất tím.,Open to randomly receive battle rune of Purple quality.,เปิดเพื่อสุ่มรับรันยุทธคุณภาพม่วง,Buka untuk secara acak menerima rune tempur kualitas Ungu.,Buksan upang random na makatanggap ng battle rune kalidad Purple.,Buka untuk secara rawak menerima rune pertempuran kualiti Ungu.,,,,,,4,,7,999,{level=<<1;150;8013>>},{level=<<1;150;8013>>},,{level=<<1;150;8013>>},,<3>,<1>,,,99,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
973,,,Random Gold Battle Rune Chest  ,Rương Chiến Văn Vàng Ngẫu Nhiên,Random Gold Battle Rune Chest  ,หีบอักษรรบสุ่ม - สีทอง  ,Peti Rune Pertempuran Acak - Emas  ,Random na Kabaong ng Battle Rune - Ginto  ,Petik Rune Perang Rawak - Emas  ,,,config/item/box/box_40_3.png,,,Open to randomly receive battle rune of Gold quality.,Mở ra có thể ngẫu nhiên nhận được chiến văn phẩm chất vàng.,Open to randomly receive battle rune of Gold quality.,เปิดเพื่อสุ่มรับรันยุทธคุณภาพทอง,Buka untuk secara acak menerima rune tempur kualitas Emas.,Buksan upang random na makatanggap ng battle rune kalidad Gold.,Buka untuk secara rawak menerima rune pertempuran kualiti Emas.,,,,,,5,,7,999,{level=<<1;150;8014>>},{level=<<1;150;8014>>},,{level=<<1;150;8014>>},,<3>,<1>,,,99,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
974,,,Random Red Battle Rune Box  ,Hộp Chiến Văn Đỏ Ngẫu Nhiên,Random Red Battle Rune Box  ,กล่องอักษรรบสุ่ม - สีแดง  ,Kotak Rune Pertempuran Acak - Merah  ,Random na Kahon ng Battle Rune - Pula  ,Kotak Rune Perang Rawak - Merah  ,,,config/item/box/box_40_4.png,,,Open to randomly receive battle rune of Red quality.,Mở ra có thể ngẫu nhiên nhận được chiến văn phẩm chất đỏ.,Open to randomly receive battle rune of Red quality.,เปิดเพื่อสุ่มรับรันยุทธคุณภาพแดง,Buka untuk secara acak menerima rune tempur kualitas Merah.,Buksan upang random na makatanggap ng battle rune kalidad Red.,Buka untuk secara rawak menerima rune pertempuran kualiti Merah.,,,,,,6,,7,999,{level=<<1;150;8015>>},{level=<<1;150;8015>>},,{level=<<1;150;8015>>},,<3>,<1>,,,99,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
980,,,Green Battle Rune Chest  ,Rương Chiến Văn Lục Sắc,Green Battle Rune Chest  ,หีบอักษรรบ - สีเขียว  ,Peti Rune Pertempuran - Hijau  ,Kabaong ng Battle Rune - Berde  ,Petik Rune Perang - Hijau  ,,,config/item/box/box_40_1.png,,,Open to randomly receive battle rune of Green quality.,Mở ra có thể ngẫu nhiên nhận được chiến văn phẩm chất Lục.,Open to randomly receive battle rune of Green quality.,เปิดเพื่อสุ่มรับรันยุทธคุณภาพเขียว,Buka untuk secara acak menerima rune tempur kualitas Hijau.,Buksan upang random na makatanggap ng battle rune kalidad Green.,Buka untuk secara rawak menerima rune pertempuran kualiti Hijau.,,,,,,2,,10,999,{level=<<1;150;8011>>},{level=<<1;150;8011>>},,{level=<<1;150;8011>>},,<3>,<1>,,,99,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
981,,,Blue Battle Rune Chest  ,Rương Chiến Văn Lam Sắc,Blue Battle Rune Chest  ,หีบอักษรรบ - สีฟ้า  ,Peti Rune Pertempuran - Biru  ,Kabaong ng Battle Rune - Asul  ,Petik Rune Perang - Biru  ,,,config/item/box/box_40_1.png,,,Open to randomly receive battle rune of Blue quality.,Có thể ngẫu nhiên nhận được chiến văn phẩm chất lam sau khi mở.,Open to randomly receive battle rune of Blue quality.,เปิดเพื่อสุ่มรับรันยุทธคุณภาพน้ำเงิน,Buka untuk secara acak menerima rune tempur kualitas Biru.,Buksan upang random na makatanggap ng battle rune kalidad Blue.,Buka untuk secara rawak menerima rune pertempuran kualiti Biru.,,,,,,3,,10,999,{level=<<1;150;8012>>},{level=<<1;150;8012>>},,{level=<<1;150;8012>>},,<3>,<1>,,,99,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
982,,,Purple Battle Rune Chest  ,Rương Chiến Văn Tím,Purple Battle Rune Chest  ,หีบอักษรรบ - สีม่วง  ,Peti Rune Pertempuran - Ungu  ,Kabaong ng Battle Rune - Lila  ,Petik Rune Perang - Ungu  ,,,config/item/box/box_40_2.png,,,Open to randomly receive battle rune of Purple quality.,Mở ra có thể ngẫu nhiên nhận được chiến văn phẩm chất tím.,Open to randomly receive battle rune of Purple quality.,เปิดเพื่อสุ่มรับรันยุทธคุณภาพม่วง,Buka untuk secara acak menerima rune tempur kualitas Ungu.,Buksan upang random na makatanggap ng battle rune kalidad Purple.,Buka untuk secara rawak menerima rune pertempuran kualiti Ungu.,,,,,,4,,10,999,{level=<<1;150;8013>>},{level=<<1;150;8013>>},,{level=<<1;150;8013>>},,<3>,<1>,,,99,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
983,,,Gold Battle Rune Chest  ,Rương Chiến Văn Vàng,Gold Battle Rune Chest  ,หีบอักษรรบ - สีทอง  ,Peti Rune Pertempuran - Emas  ,Kabaong ng Battle Rune - Ginto  ,Petik Rune Perang - Emas  ,,,config/item/box/box_40_3.png,,,Open to randomly receive battle rune of Gold quality.,Mở ra có thể ngẫu nhiên nhận được chiến văn phẩm chất vàng.,Open to randomly receive battle rune of Gold quality.,เปิดเพื่อสุ่มรับรันยุทธคุณภาพทอง,Buka untuk secara acak menerima rune tempur kualitas Emas.,Buksan upang random na makatanggap ng battle rune kalidad Gold.,Buka untuk secara rawak menerima rune pertempuran kualiti Emas.,,,,,,5,,10,999,{level=<<1;150;8014>>},{level=<<1;150;8014>>},,{level=<<1;150;8014>>},,<3>,<1>,,,99,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
984,,,Red Battle Rune Chest,Rương Chiến Văn Đỏ,Red Battle Rune Chest,หีบอักษรรบ - สีแดง,Peti Rune Pertempuran - Merah,Kabaong ng Battle Rune - Pula,Petik Rune Perang - Merah,,,config/item/box/box_40_4.png,,,Open to randomly receive battle rune of Red quality.,Mở ra có thể ngẫu nhiên nhận được chiến văn phẩm chất đỏ.,Open to randomly receive battle rune of Red quality.,เปิดเพื่อสุ่มรับรันยุทธคุณภาพแดง,Buka untuk secara acak menerima rune tempur kualitas Merah.,Buksan upang random na makatanggap ng battle rune kalidad Red.,Buka untuk secara rawak menerima rune pertempuran kualiti Merah.,,,,,,6,,10,999,{level=<<1;150;8015>>},{level=<<1;150;8015>>},,{level=<<1;150;8015>>},,<3>,<1>,,,99,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990,,,Custom Green Battle Rune Chest  ,Rương Tự Chọn Chiến Văn Lục Sắc,Custom Green Battle Rune Chest  ,หีบเลือกอักษรรบ - สีเขียว  ,Peti Pilihan Rune Pertempuran Hijau  ,Piling Kabaong ng Battle Rune - Berde  ,Petik Rune Perang Hijau  ,,,config/item/box/box_40_1.png,,,Open to freely choose a Green-quality battle rune.,Mở ra có thể tùy ý chọn một Chiến Văn phẩm chất Lục.,Open to freely choose a Green-quality battle rune.,เปิดเพื่อเลือกได้อิสระรันยุทธคุณภาพเขียว,Buka untuk bebas memilih rune tempur kualitas Hijau.,Buksan upang malayang pumili ng Green-quality battle rune.,Buka untuk bebas memilih rune pertempuran kualiti Hijau.,,,,,,2,,16,999,{choose24={40426=1};choose40={40821=1};choose29={40525=1};choose22={40424=1};choose11={40225=1};choose7={40221=1};choose35={40625=1};choose9={40223=1};choose33={40623=1};choose34={40624=1};choose21={40423=1};choose32={40622=1};choose2={40122=1};choose38={40722=1};choose4={40124=1};choose17={40325=1};choose1={40121=1};choose16={40324=1};choose45={40923=1};choose28={40524=1};choose27={40523=1};choose30={40526=1};choose43={40921=1};choose13={40321=1};choose44={40922=1};choose31={40621=1};choose26={40522=1};choose6={40126=1};choose42={40823=1};choose15={40323=1};choose3={40123=1};choose8={40222=1};choose23={40425=1};choose5={40125=1};choose39={40723=1};choose37={40721=1};choose10={40224=1};choose20={40422=1};choose19={40421=1};choose12={40226=1};choose25={40521=1};choose36={40626=1};choose41={40822=1};choose14={40322=1};choose18={40326=1}},{choose24={40426=1};choose40={40821=1};choose29={40525=1};choose22={40424=1};choose11={40225=1};choose7={40221=1};choose35={40625=1};choose9={40223=1};choose33={40623=1};choose34={40624=1};choose21={40423=1};choose32={40622=1};choose2={40122=1};choose38={40722=1};choose4={40124=1};choose17={40325=1};choose1={40121=1};choose16={40324=1};choose45={40923=1};choose28={40524=1};choose27={40523=1};choose30={40526=1};choose43={40921=1};choose13={40321=1};choose44={40922=1};choose31={40621=1};choose26={40522=1};choose6={40126=1};choose42={40823=1};choose15={40323=1};choose3={40123=1};choose8={40222=1};choose23={40425=1};choose5={40125=1};choose39={40723=1};choose37={40721=1};choose10={40224=1};choose20={40422=1};choose19={40421=1};choose12={40226=1};choose25={40521=1};choose36={40626=1};choose41={40822=1};choose14={40322=1};choose18={40326=1}},,{choose24={40426=1};choose40={40821=1};choose29={40525=1};choose22={40424=1};choose11={40225=1};choose7={40221=1};choose35={40625=1};choose9={40223=1};choose33={40623=1};choose34={40624=1};choose21={40423=1};choose32={40622=1};choose2={40122=1};choose38={40722=1};choose4={40124=1};choose17={40325=1};choose1={40121=1};choose16={40324=1};choose45={40923=1};choose28={40524=1};choose27={40523=1};choose30={40526=1};choose43={40921=1};choose13={40321=1};choose44={40922=1};choose31={40621=1};choose26={40522=1};choose6={40126=1};choose42={40823=1};choose15={40323=1};choose3={40123=1};choose8={40222=1};choose23={40425=1};choose5={40125=1};choose39={40723=1};choose37={40721=1};choose10={40224=1};choose20={40422=1};choose19={40421=1};choose12={40226=1};choose25={40521=1};choose36={40626=1};choose41={40822=1};choose14={40322=1};choose18={40326=1}},,<3>,<1>,,,99,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
991,,,Custom Blue Battle Rune Chest  ,Rương Tự Chọn Chiến Văn Lam Sắc,Custom Blue Battle Rune Chest  ,หีบเลือกอักษรรบ - สีฟ้า  ,Peti Pilihan Rune Pertempuran Biru  ,Piling Kabaong ng Battle Rune - Asul  ,Petik Rune Perang Biru  ,,,config/item/box/box_40_1.png,,,Open to choose a Blue-quality battle rune after opening.,Có thể tùy chọn một chiến phẩm chất lam sau khi mở.,Open to choose a Blue-quality battle rune after opening.,หลังเปิด สามารถเลือกรันยุทธคุณภาพน้ำเงิน,"Setelah dibuka, kamu bisa memilih rune tempur kualitas Biru.","Pagkatapos buksan, maaari kang pumili ng Blue-quality battle rune.","Selepas dibuka, anda boleh memilih rune pertempuran kualiti Biru.",,,,,,3,,16,999,{choose24={40436=1};choose40={40831=1};choose29={40535=1};choose22={40434=1};choose11={40235=1};choose7={40231=1};choose35={40635=1};choose9={40233=1};choose33={40633=1};choose34={40634=1};choose21={40433=1};choose32={40632=1};choose2={40132=1};choose38={40732=1};choose4={40134=1};choose17={40335=1};choose1={40131=1};choose16={40334=1};choose45={40933=1};choose28={40534=1};choose27={40533=1};choose30={40536=1};choose43={40931=1};choose13={40331=1};choose44={40932=1};choose31={40631=1};choose26={40532=1};choose6={40136=1};choose42={40833=1};choose15={40333=1};choose3={40133=1};choose8={40232=1};choose23={40435=1};choose5={40135=1};choose39={40733=1};choose37={40731=1};choose10={40234=1};choose20={40432=1};choose19={40431=1};choose12={40236=1};choose25={40531=1};choose36={40636=1};choose41={40832=1};choose14={40332=1};choose18={40336=1}},{choose24={40436=1};choose40={40831=1};choose29={40535=1};choose22={40434=1};choose11={40235=1};choose7={40231=1};choose35={40635=1};choose9={40233=1};choose33={40633=1};choose34={40634=1};choose21={40433=1};choose32={40632=1};choose2={40132=1};choose38={40732=1};choose4={40134=1};choose17={40335=1};choose1={40131=1};choose16={40334=1};choose45={40933=1};choose28={40534=1};choose27={40533=1};choose30={40536=1};choose43={40931=1};choose13={40331=1};choose44={40932=1};choose31={40631=1};choose26={40532=1};choose6={40136=1};choose42={40833=1};choose15={40333=1};choose3={40133=1};choose8={40232=1};choose23={40435=1};choose5={40135=1};choose39={40733=1};choose37={40731=1};choose10={40234=1};choose20={40432=1};choose19={40431=1};choose12={40236=1};choose25={40531=1};choose36={40636=1};choose41={40832=1};choose14={40332=1};choose18={40336=1}},,{choose24={40436=1};choose40={40831=1};choose29={40535=1};choose22={40434=1};choose11={40235=1};choose7={40231=1};choose35={40635=1};choose9={40233=1};choose33={40633=1};choose34={40634=1};choose21={40433=1};choose32={40632=1};choose2={40132=1};choose38={40732=1};choose4={40134=1};choose17={40335=1};choose1={40131=1};choose16={40334=1};choose45={40933=1};choose28={40534=1};choose27={40533=1};choose30={40536=1};choose43={40931=1};choose13={40331=1};choose44={40932=1};choose31={40631=1};choose26={40532=1};choose6={40136=1};choose42={40833=1};choose15={40333=1};choose3={40133=1};choose8={40232=1};choose23={40435=1};choose5={40135=1};choose39={40733=1};choose37={40731=1};choose10={40234=1};choose20={40432=1};choose19={40431=1};choose12={40236=1};choose25={40531=1};choose36={40636=1};choose41={40832=1};choose14={40332=1};choose18={40336=1}},,<3>,<1>,,,99,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
992,,,Custom Purple Battle Rune Chest  ,Rương Tự Chọn Chiến Văn Tím,Custom Purple Battle Rune Chest  ,หีบเลือกอักษรรบ - สีม่วง  ,Peti Pilihan Rune Pertempuran Ungu  ,Piling Kabaong ng Battle Rune - Lila  ,Petik Rune Perang Ungu  ,,,config/item/box/box_40_2.png,,,Open to choose a Purple-quality battle rune after opening.,Có thể tùy chọn một chiến phẩm chất Tím sau khi mở.,Open to choose a Purple-quality battle rune after opening.,หลังเปิด สามารถเลือกรันยุทธคุณภาพม่วง,"Setelah dibuka, kamu bisa memilih rune tempur kualitas Ungu.","Pagkatapos buksan, maaari kang pumili ng Purple-quality battle rune.","Selepas dibuka, anda boleh memilih rune pertempuran kualiti Ungu.",,,,,,4,,16,999,{choose24={40446=1};choose40={40841=1};choose29={40545=1};choose22={40444=1};choose11={40245=1};choose7={40241=1};choose35={40645=1};choose9={40243=1};choose33={40643=1};choose34={40644=1};choose21={40443=1};choose32={40642=1};choose2={40142=1};choose38={40742=1};choose4={40144=1};choose17={40345=1};choose1={40141=1};choose16={40344=1};choose45={40943=1};choose28={40544=1};choose27={40543=1};choose30={40546=1};choose43={40941=1};choose13={40341=1};choose44={40942=1};choose31={40641=1};choose26={40542=1};choose6={40146=1};choose42={40843=1};choose15={40343=1};choose3={40143=1};choose8={40242=1};choose23={40445=1};choose5={40145=1};choose39={40743=1};choose37={40741=1};choose10={40244=1};choose20={40442=1};choose19={40441=1};choose12={40246=1};choose25={40541=1};choose36={40646=1};choose41={40842=1};choose14={40342=1};choose18={40346=1}},{choose24={40446=1};choose40={40841=1};choose29={40545=1};choose22={40444=1};choose11={40245=1};choose7={40241=1};choose35={40645=1};choose9={40243=1};choose33={40643=1};choose34={40644=1};choose21={40443=1};choose32={40642=1};choose2={40142=1};choose38={40742=1};choose4={40144=1};choose17={40345=1};choose1={40141=1};choose16={40344=1};choose45={40943=1};choose28={40544=1};choose27={40543=1};choose30={40546=1};choose43={40941=1};choose13={40341=1};choose44={40942=1};choose31={40641=1};choose26={40542=1};choose6={40146=1};choose42={40843=1};choose15={40343=1};choose3={40143=1};choose8={40242=1};choose23={40445=1};choose5={40145=1};choose39={40743=1};choose37={40741=1};choose10={40244=1};choose20={40442=1};choose19={40441=1};choose12={40246=1};choose25={40541=1};choose36={40646=1};choose41={40842=1};choose14={40342=1};choose18={40346=1}},,{choose24={40446=1};choose40={40841=1};choose29={40545=1};choose22={40444=1};choose11={40245=1};choose7={40241=1};choose35={40645=1};choose9={40243=1};choose33={40643=1};choose34={40644=1};choose21={40443=1};choose32={40642=1};choose2={40142=1};choose38={40742=1};choose4={40144=1};choose17={40345=1};choose1={40141=1};choose16={40344=1};choose45={40943=1};choose28={40544=1};choose27={40543=1};choose30={40546=1};choose43={40941=1};choose13={40341=1};choose44={40942=1};choose31={40641=1};choose26={40542=1};choose6={40146=1};choose42={40843=1};choose15={40343=1};choose3={40143=1};choose8={40242=1};choose23={40445=1};choose5={40145=1};choose39={40743=1};choose37={40741=1};choose10={40244=1};choose20={40442=1};choose19={40441=1};choose12={40246=1};choose25={40541=1};choose36={40646=1};choose41={40842=1};choose14={40342=1};choose18={40346=1}},,<3>,<1>,,,99,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
993,,,Custom Gold Battle Rune Chest  ,Rương Tự Chọn Chiến Văn Vàng,Custom Gold Battle Rune Chest  ,หีบเลือกอักษรรบ - สีทอง  ,Peti Pilihan Rune Pertempuran Emas  ,Piling Kabaong ng Battle Rune - Ginto  ,Petik Rune Perang Emas  ,,,config/item/box/box_40_3.png,,,Open to choose a Gold-quality battle rune after opening.,Có thể tùy chọn một chiến phẩm chất vàng sau khi mở.,Open to choose a Gold-quality battle rune after opening.,หลังเปิด สามารถเลือกรันยุทธคุณภาพทอง,"Setelah dibuka, kamu bisa memilih rune tempur kualitas Emas.","Pagkatapos buksan, maaari kang pumili ng Gold-quality battle rune.","Selepas dibuka, anda boleh memilih rune pertempuran kualiti Emas.",,,,,,5,,16,999,{choose24={40456=1};choose40={40851=1};choose29={40555=1};choose22={40454=1};choose11={40255=1};choose7={40251=1};choose35={40655=1};choose9={40253=1};choose33={40653=1};choose34={40654=1};choose21={40453=1};choose32={40652=1};choose2={40152=1};choose38={40752=1};choose4={40154=1};choose17={40355=1};choose1={40151=1};choose16={40354=1};choose45={40953=1};choose28={40554=1};choose27={40553=1};choose30={40556=1};choose43={40951=1};choose13={40351=1};choose44={40952=1};choose31={40651=1};choose26={40552=1};choose6={40156=1};choose42={40853=1};choose15={40353=1};choose3={40153=1};choose8={40252=1};choose23={40455=1};choose5={40155=1};choose39={40753=1};choose37={40751=1};choose10={40254=1};choose20={40452=1};choose19={40451=1};choose12={40256=1};choose25={40551=1};choose36={40656=1};choose41={40852=1};choose14={40352=1};choose18={40356=1}},{choose24={40456=1};choose40={40851=1};choose29={40555=1};choose22={40454=1};choose11={40255=1};choose7={40251=1};choose35={40655=1};choose9={40253=1};choose33={40653=1};choose34={40654=1};choose21={40453=1};choose32={40652=1};choose2={40152=1};choose38={40752=1};choose4={40154=1};choose17={40355=1};choose1={40151=1};choose16={40354=1};choose45={40953=1};choose28={40554=1};choose27={40553=1};choose30={40556=1};choose43={40951=1};choose13={40351=1};choose44={40952=1};choose31={40651=1};choose26={40552=1};choose6={40156=1};choose42={40853=1};choose15={40353=1};choose3={40153=1};choose8={40252=1};choose23={40455=1};choose5={40155=1};choose39={40753=1};choose37={40751=1};choose10={40254=1};choose20={40452=1};choose19={40451=1};choose12={40256=1};choose25={40551=1};choose36={40656=1};choose41={40852=1};choose14={40352=1};choose18={40356=1}},,{choose24={40456=1};choose40={40851=1};choose29={40555=1};choose22={40454=1};choose11={40255=1};choose7={40251=1};choose35={40655=1};choose9={40253=1};choose33={40653=1};choose34={40654=1};choose21={40453=1};choose32={40652=1};choose2={40152=1};choose38={40752=1};choose4={40154=1};choose17={40355=1};choose1={40151=1};choose16={40354=1};choose45={40953=1};choose28={40554=1};choose27={40553=1};choose30={40556=1};choose43={40951=1};choose13={40351=1};choose44={40952=1};choose31={40651=1};choose26={40552=1};choose6={40156=1};choose42={40853=1};choose15={40353=1};choose3={40153=1};choose8={40252=1};choose23={40455=1};choose5={40155=1};choose39={40753=1};choose37={40751=1};choose10={40254=1};choose20={40452=1};choose19={40451=1};choose12={40256=1};choose25={40551=1};choose36={40656=1};choose41={40852=1};choose14={40352=1};choose18={40356=1}},,<3>,<1>,,,99,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
994,,,Custom Red Battle Rune Chest  ,Rương Tự Chọn Chiến Văn Đỏ,Custom Red Battle Rune Chest  ,หีบเลือกอักษรรบ - สีแดง  ,Peti Pilihan Rune Pertempuran Merah  ,Piling Kabaong ng Battle Rune - Pula  ,Petik Rune Perang Merah  ,,,config/item/box/box_40_4.png,,,Open to choose a Red-quality battle rune after opening.,Có thể tùy chọn một chiến phẩm chất đỏ sau khi mở.,Open to choose a Red-quality battle rune after opening.,หลังเปิด สามารถเลือกรันยุทธคุณภาพแดง,"Setelah dibuka, kamu bisa memilih rune tempur kualitas Merah.","Pagkatapos buksan, maaari kang pumili ng Red-quality battle rune.","Selepas dibuka, anda boleh memilih rune pertempuran kualiti Merah.",,,,,,6,,16,999,{choose24={40466=1};choose40={40861=1};choose29={40565=1};choose22={40464=1};choose11={40265=1};choose7={40261=1};choose35={40665=1};choose9={40263=1};choose33={40663=1};choose34={40664=1};choose21={40463=1};choose32={40662=1};choose2={40162=1};choose38={40762=1};choose4={40164=1};choose17={40365=1};choose1={40161=1};choose16={40364=1};choose45={40963=1};choose28={40564=1};choose27={40563=1};choose30={40566=1};choose43={40961=1};choose13={40361=1};choose44={40962=1};choose31={40661=1};choose26={40562=1};choose6={40166=1};choose42={40863=1};choose15={40363=1};choose3={40163=1};choose8={40262=1};choose23={40465=1};choose5={40165=1};choose39={40763=1};choose37={40761=1};choose10={40264=1};choose20={40462=1};choose19={40461=1};choose12={40266=1};choose25={40561=1};choose36={40666=1};choose41={40862=1};choose14={40362=1};choose18={40366=1}},{choose24={40466=1};choose40={40861=1};choose29={40565=1};choose22={40464=1};choose11={40265=1};choose7={40261=1};choose35={40665=1};choose9={40263=1};choose33={40663=1};choose34={40664=1};choose21={40463=1};choose32={40662=1};choose2={40162=1};choose38={40762=1};choose4={40164=1};choose17={40365=1};choose1={40161=1};choose16={40364=1};choose45={40963=1};choose28={40564=1};choose27={40563=1};choose30={40566=1};choose43={40961=1};choose13={40361=1};choose44={40962=1};choose31={40661=1};choose26={40562=1};choose6={40166=1};choose42={40863=1};choose15={40363=1};choose3={40163=1};choose8={40262=1};choose23={40465=1};choose5={40165=1};choose39={40763=1};choose37={40761=1};choose10={40264=1};choose20={40462=1};choose19={40461=1};choose12={40266=1};choose25={40561=1};choose36={40666=1};choose41={40862=1};choose14={40362=1};choose18={40366=1}},,{choose24={40466=1};choose40={40861=1};choose29={40565=1};choose22={40464=1};choose11={40265=1};choose7={40261=1};choose35={40665=1};choose9={40263=1};choose33={40663=1};choose34={40664=1};choose21={40463=1};choose32={40662=1};choose2={40162=1};choose38={40762=1};choose4={40164=1};choose17={40365=1};choose1={40161=1};choose16={40364=1};choose45={40963=1};choose28={40564=1};choose27={40563=1};choose30={40566=1};choose43={40961=1};choose13={40361=1};choose44={40962=1};choose31={40661=1};choose26={40562=1};choose6={40166=1};choose42={40863=1};choose15={40363=1};choose3={40163=1};choose8={40262=1};choose23={40465=1};choose5={40165=1};choose39={40763=1};choose37={40761=1};choose10={40264=1};choose20={40462=1};choose19={40461=1};choose12={40266=1};choose25={40561=1};choose36={40666=1};choose41={40862=1};choose14={40362=1};choose18={40366=1}},,<3>,<1>,,,99,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000,,,All-in-One Gift Pack  ,Gói quà toàn năng,All-in-One Gift Pack  ,แพ็กของขวัญครอบคลุม  ,Paket Hadiah Serba Bisa  ,Komprehensibong Pakete ng Regalo  ,Pakej Hadiah Serba Lengkap  ,,FALSE,config/item/icon_lb1.png,,,Can be opened to receive a bunch of items.  ,Mở ra có thể nhận được một đống vật phẩm.,Can be opened to receive a bunch of items.  ,สามารถเปิดเพื่อรับไอเทมจำนวนมาก  ,Dapat dibuka untuk mendapatkan banyak item.  ,Maaaring buksan upang makakuha ng maraming item.  ,Boleh dibuka untuk menerima banyak item.  ,,,,,,5,,3,,{1013=9999;1017=9999;518=9999;1002=9999;1001=9999;1006=9999;1004=9999;3032=9999;3030=9999;1016=9999;3031=9999;1005=9999;1003=9999;519=9999;1010=9999;1009=9999;1014=9999},{1013=9999;1017=9999;518=9999;1002=9999;1001=9999;1006=9999;1004=9999;3032=9999;3030=9999;1016=9999;3031=9999;1005=9999;1003=9999;519=9999;1010=9999;1009=9999;1014=9999},,{1013=9999;1017=9999;518=9999;1002=9999;1001=9999;1006=9999;1004=9999;3032=9999;3030=9999;1016=9999;3031=9999;1005=9999;1003=9999;519=9999;1010=9999;1009=9999;1014=9999},,<3>,<1>,,,99,99,,,,,,,,,,,,,,,,,,{drawcard=huang_effect_loop;gain=huang_effect_loop},,,,,,,,,,
