VariableName,typeSeqID,weight,group,desc,desc_vn,desc_en,desc_th,desc_in,desc_ph,desc_ma,choice1,choice1_vn,choice1_en,choice1_th,choice1_in,choice1_ph,choice1_ma,choice2,choice2_vn,choice2_en,choice2_th,choice2_in,choice2_ph,choice2_ma,choice3,choice3_vn,choice3_en,choice3_th,choice3_in,choice3_ph,choice3_ma,choice4,choice4_vn,choice4_en,choice4_th,choice4_in,choice4_ph,choice4_ma,answer,imgID
60,2,20,206,"In this game, which Pokémon cannot be used as material for star upgrade for other Pokémon?  ","Trong trò chơi này, Pokémon nào không thể sử dụng làm nguyên liệu nâng cấp sao cho Pokémon?","In this game, which Pokémon cannot be used as material for star upgrade for other Pokémon?  ",ในเกมนี้ โปเกมอนตัวใดไม่สามารถใช้เป็นวัตถุดิบสำหรับการอัพเกรดดาวของโปเกมอนได้?  ,"Dalam permainan ini, Pokémon mana yang tidak dapat digunakan sebagai bahan untuk meningkatkan bintang Pokémon lain?  ","Sa larong ito, aling Pokémon ang hindi maaaring gamitin bilang materyal para sa star upgrade ng ibang Pokémon?  ","Dalam permainan ini, Pokémon mana yang tidak dapat digunakan sebagai bahan peningkatan bintang untuk Pokémon?",Một Tinh linh cùng loại đã đạt sao tối đa,Một Tinh linh cùng loại đã đạt sao tối đa,A Spirit of the same type has reached max stars  ,วิญญาณประเภทเดียวกันได้ดาวสูงสุดแล้ว  ,Roh sejenis telah mencapai bintang maksimal  ,Isang Espiritu ng parehong uri ay nakarating sa pinakamataas na bituin  ,Roh dari jenis yang sama telah mencapai bintang tertinggi  ,Biến Hình Quái,Biến Hình Quái,Biến Hình Quái,สัตว์ประหลาดแปลงร่าง  ,Monster Transformasi  ,Halimaw ng Pagbabagong-anyo  ,Raksasa Penjelmaan  ,Same-type Pokémon created from the transformation of universal shards  ,Pokémon cùng hệ được tạo ra từ việc biến hóa mảnh vỡ vạn năng,Same-type Pokémon created from the transformation of universal shards  ,โปเกมอนประเภทเดียวกันที่เกิดจากการเปลี่ยนแปลงของเศษอเนกประสงค์  ,Pokémon tipe sama yang tercipta dari pecahan serbaguna  ,Magkaparehong-type na Pokémon na nilikha mula sa pagbago ng mga shard  ,Pokémon sejenis yang terhasil daripada serpihan serba guna  ,Not yet nurtured with linked spirits  ,Chưa bồi dưỡng cùng hệ liệt tinh linh,Not yet nurtured with linked spirits  ,ยังไม่ได้เลี้ยงดูด้วยจิตวิญญาณที่เชื่อมโยง  ,Belum dipelihara dengan roh terkait  ,Not yet nurtured with linked spirits  ,Belum dibesarkan dengan roh terkait  ,,
61,2,20,206,"In this game, after reaching maximum star level, the feature to upgrade Pokémon max attributes will unlock, but which attribute cannot be upgraded?  ","Trong trò chơi này, sau khi đạt cấp sao tối đa, tính năng nâng cấp thuộc tính tối đa của Pokémon sẽ mở ra, nhưng thuộc tính nào không thể nâng cấp?","In this game, after reaching maximum star level, the feature to upgrade Pokémon max attributes will unlock, but which attribute cannot be upgraded?  ",ในเกมนี้ หลังจากถึงระดับดาวสูงสุด ฟีเจอร์อัพเกรดค่าสถานะสูงสุดของโปเกมอนจะปลดล็อก แต่ค่าสถานะใดไม่สามารถอัพเกรดได้?  ,"Dalam permainan ini, setelah mencapai level bintang maksimum, fitur peningkatan atribut maksimum Pokémon akan terbuka, tetapi atribut mana yang tidak dapat ditingkatkan?  ","Sa larong ito, pagkatapos maabot ang maximum star level, magbubukas ang feature ng pag-upgrade ng max attributes ng Pokémon, pero alin na attribute ang hindi pwedeng i-upgrade?  ","Dalam permainan ini, setelah mencapai tingkat bintang maksimum, fitur peningkatan atribut maksimum Pokémon akan terbuka, tetapi atribut mana yang tidak bisa ditingkatkan?",Tốc độ,Tốc độ,Speed  ,ความเร็ว  ,Kecepatan  ,Bilis  ,Kelajuan  ,Phá Vệ,Phá Vệ,Phá Vệ,ทะลวงการป้องกัน  ,Penghancur Pertahanan  ,Sirang Bantay  ,Pengawal Rosak  ,Critical rate  ,Tỷ lệ chí mạng,Critical rate  ,อัตราคริติคอล  ,Tingkat kritikal  ,Critical rate  ,Kadar kritikal  ,Critical Hit Resistance  ,Bạo kích kháng tính,Critical Hit Resistance  ,ต้านทานคริติคอลฮิต  ,Ketahanan Serangan Kritis  ,Critical Hit Resistance  ,Ketahanan Kritikal  ,,
62,2,20,206,"In this game, which system provides free special benefits?  ","Trong trò chơi này, hệ thống nào cung cấp các quyền lợi đặc biệt miễn phí?","In this game, which system provides free special benefits?  ",ในเกมนี้ ระบบใดที่ให้สิทธิพิเศษฟรี?  ,"Dalam permainan ini, sistem mana yang memberikan keuntungan khusus gratis?  ","Sa larong ito, anong sistema ang nagbibigay ng mga espesyal na benepisyo nang libre?  ","Dalam permainan ini, sistem mana yang menyediakan keuntungan spesial secara gratis?",Giấy phép phiêu lưu,Giấy phép phiêu lưu,Adventure License  ,ใบอนุญาตผจญภัย  ,Lisensi Petualangan  ,Lisensyang Pakikipagsapalaran  ,Lesen Pengembaraan  ,VIP,VIP,VIP,วีไอพี  ,VIP  ,VIP  ,VIP  ,Monthly card  ,Thẻ tháng,Monthly card  ,บัตรรายเดือน  ,Kartu Bulanan  ,Monthly card  ,Kad Bulanan  ,Pass Card  ,Giấy thông hành,Pass Card  ,บัตรผ่าน  ,Kartu Izin  ,Pass Card  ,Kad Laluan  ,,
63,2,20,206,"In this game, which statement about gym is wrong?  ","Trong trò chơi này, câu nào về phòng gym là sai?","In this game, which statement about gym is wrong?  ",ในเกมนี้ ประโยคใดเกี่ยวกับยิมไม่ถูกต้อง?  ,"Dalam permainan ini, pernyataan mana tentang gym yang salah?  ","Sa larong ito, aling pahayag tungkol sa gym ang mali?  ","Dalam permainan ini, pernyataan mana tentang gym yang salah?",Nhật ký đấu gym mỗi tuần sẽ được lưu lại vĩnh viễn,Nhật ký đấu gym mỗi tuần sẽ được lưu lại vĩnh viễn,Weekly gym battle logs will be permanently saved  ,บันทึกการต่อสู้ยิมประจำสัปดาห์จะถูกเก็บถาวร  ,Catatan gym mingguan akan disimpan secara permanen  ,Ang lingguhang tala ng laban sa gym ay mananatiling naka-save magpakailanman  ,Rekod mingguan pertempuran gim akan disimpan selama-lamanya  ,Đấu Trường Phụ Bản Mỗi Tuần Được Cập Nhật,Đấu Trường Phụ Bản Mỗi Tuần Được Cập Nhật,Đấu Trường Phụ Bản Mỗi Tuần Được Cập Nhật,อารีนาเสริมอัปเดตทุกสัปดาห์  ,Arena Tambahan Diperbarui Setiap Minggu  ,Sub-Arena Ina-update Lingguhan  ,Sub-Arena Dikemas Kini Mingguan  ,Gym challenge difficulty is affected by your combat power  ,Độ khó của thử thách gym ảnh hưởng bởi sức mạnh chiến đấu của bản thân,Gym challenge difficulty is affected by your combat power  ,ความยากของยิมขึ้นอยู่กับพลังต่อสู้ของคุณ  ,Tingkat kesulitan gym dipengaruhi oleh kekuatan tempurmu  ,Ang hirap ng gym ay naaapektuhan ng battle power mo  ,Tahap kesukaran gym bergantung kepada kuasa tempur anda  ,Can harvest material enhancement medals  ,Có thể thu hoạch được huy chương cường hóa vật liệu,Can harvest material enhancement medals  ,สามารถเก็บเหรียญเสริมวัสดุได้  ,Dapat memanen medali peningkatan bahan  ,Can harvest material enhancement medals  ,Boleh menuai pingat peningkatan bahan  ,,
64,2,20,206,"In this game, what can you get when participating in the Adventure Road challenge to train Pokémon?  ","Trong trò chơi này, khi tham gia thử thách Adventure Road, bạn có thể nhận được gì để huấn luyện Pokémon?","In this game, what can you get when participating in the Adventure Road challenge to train Pokémon?  ",ในเกมนี้ เมื่อเข้าร่วมการท้าทาย Adventure Road คุณจะได้รับอะไรเพื่อฝึกโปเกมอน?  ,"Dalam permainan ini, apa yang bisa kamu dapatkan saat mengikuti tantangan Adventure Road untuk melatih Pokémon?  ","Sa larong ito, ano ang makukuha mo kapag sumali ka sa Adventure Road challenge para mag-training ng Pokémon?  ","Dalam permainan ini, saat mengikuti tantangan Adventure Road, apa yang bisa kamu dapatkan untuk melatih Pokémon?",Nỗ lực,Nỗ lực,Effort  ,ความพยายาม  ,Usaha  ,Pagsisikap  ,Usaha  ,Tiềm Năng,Tiềm Năng,Tiềm Năng,ศักยภาพ  ,Potensi  ,Potensyal  ,Potensi  ,Soul Gem  ,Ngọc hồn,Soul Gem  ,อัญมณีวิญญาณ  ,Permata Jiwa  ,Kaluluwang Hiyas  ,Permata Jiwa  ,Refinement Level  ,Tinh cấp,Refinement Level  ,ระดับกลั่น  ,Tingkat Penyempurnaan  ,Refinement Level  ,Tahap Penapisan  ,,
65,2,20,206,"In this game, when can players automatically register for Pokémon League every day?  ","Trong trò chơi này, khi nào người chơi có thể tự động đăng ký vào Pokémon League mỗi ngày?","In this game, when can players automatically register for Pokémon League every day?  ",ในเกมนี้ ผู้เล่นสามารถลงทะเบียนเข้าสู่ Pokémon League อัตโนมัติได้ทุกวันเมื่อใด?  ,"Dalam permainan ini, kapan pemain bisa mendaftar otomatis ke Pokémon League setiap hari?  ","Sa larong ito, kailan maaaring awtomatikong magrehistro ang mga manlalaro sa Pokémon League araw-araw?  ","Dalam permainan ini, kapan pemain akan otomatis terdaftar ke Pokémon League setiap hari?",3,3,,,,,,5,5,5,5,5,5,5,4,4,4,4,4,4,4,2,2,2,2,2,2,2,,
66,2,20,206,"In this game, on which day of the week does the Guild Battle duel time take place?  ","Trong trò chơi này, thời gian quyết đấu của Cuộc chiến Guild diễn ra vào ngày nào trong tuần?","In this game, on which day of the week does the Guild Battle duel time take place?  ",ในเกมนี้ เวลาแข่งขันใน Guild Battle จะจัดขึ้นในวันใดของสัปดาห์?  ,"Dalam permainan ini, hari apa dalam minggu duel Pertarungan Guild diadakan?  ","Sa larong ito, anong araw ng linggo ginaganap ang oras ng duel para sa Guild Battle?  ","Dalam permainan ini, pertarungan Guild berlangsung pada hari apa dalam seminggu?",Thứ Bảy,Thứ Bảy,Saturday  ,วันเสาร์  ,Sabtu  ,Sabado  ,Sabtu  ,Friday  ,Thứ Sáu,Friday  ,วันศุกร์  ,Jumat  ,Biyernes  ,Jumaat  ,Thursday  ,Thứ Năm,Thursday  ,วันพฤหัสบดี  ,Kamis  ,Huwebes  ,Khamis  ,Sunday  ,Chủ nhật,Sunday  ,วันอาทิตย์  ,Minggu  ,Sunday  ,Ahad  ,,
67,2,20,206,"In this game, which statement about the secret shop is wrong?  ","Trong trò chơi này, câu nào về cửa hàng bí ẩn là sai?","In this game, which statement about the secret shop is wrong?  ",ในเกมนี้ ประโยคใดเกี่ยวกับร้านลับไม่ถูกต้อง?  ,"Dalam permainan ini, pernyataan mana tentang toko rahasia yang salah?  ","Sa larong ito, aling pahayag tungkol sa secret shop ang mali?  ","Dalam permainan ini, pernyataan mana tentang toko misterius yang salah?",Cửa hàng bí mật sẽ luôn tồn tại,Cửa hàng bí mật sẽ luôn tồn tại,The secret shop will always exist  ,ร้านลับจะคงอยู่เสมอ  ,Toko rahasia akan selalu ada  ,Mananatiling umiiral ang lihim na tindahan  ,Kedai rahsia akan terus wujud  ,Limited number of activations per day  ,Hạn chế số lần kích hoạt mỗi ngày,Limited number of activations per day  ,จำกัดจำนวนครั้งในการเปิดใช้งานต่อวัน  ,Batas jumlah aktivasi per hari  ,Limitado ang bilang ng beses ng pag-activate bawat araw  ,Bilangan pengaktifan terhad setiap hari  ,"After consuming a certain amount of stamina, it can be refreshed","Sau khi tiêu tốn một lượng thể lực nhất định, có khả năng làm mới","After consuming a certain amount of stamina, it can be refreshed",หลังจากใช้พลังงานจำนวนหนึ่ง จะสามารถรีเฟรชได้,"Setelah menghabiskan stamina tertentu, bisa diperbarui","Pagkatapos gumamit ng sapat na stamina, puwedeng i-refresh","Selepas menggunakan stamina tertentu, boleh disegar semula",Most commodities have price discounts  ,Đa số thương phẩm có được chiết khấu giá cả,Most commodities have price discounts  ,สินค้าส่วนใหญ่มีส่วนลดราคา  ,Sebagian besar barang memiliki diskon harga  ,Most commodities have price discounts  ,Kebanyakan barangan mendapat diskaun harga  ,,
68,2,20,206,"In this game, when can players unlock the skill skip feature?  ","Trong trò chơi này, khi nào người chơi có thể mở tính năng bỏ qua kỹ năng?","In this game, when can players unlock the skill skip feature?  ",ในเกมนี้ ผู้เล่นจะปลดล็อกฟีเจอร์ข้ามสกิลได้เมื่อใด?  ,"Dalam permainan ini, kapan pemain bisa membuka fitur lewati skill?  ","Sa larong ito, kailan mabubuksan ng mga manlalaro ang skill skip feature?  ","Dalam permainan ini, kapan pemain dapat membuka fitur lewati skill?",15,15,15,15,15,15,15,1,1,1,1,1,1,1,10,10,10,10,10,10,10,20,20,20,20,20,20,20,,
69,2,20,206,"In this game, when can players unlock the exploration feature?  ","Trong trò chơi này, khi nào người chơi có thể mở tính năng khám phá?","In this game, when can players unlock the exploration feature?  ",ในเกมนี้ ผู้เล่นจะปลดล็อกฟีเจอร์สำรวจได้เมื่อใด?  ,"Dalam permainan ini, kapan pemain bisa membuka fitur eksplorasi?  ","Sa larong ito, kailan mabubuksan ng mga manlalaro ang exploration feature?  ","Dalam permainan ini, kapan pemain dapat membuka fitur eksplorasi?",33,33,33,33,33,33,33,20,20,20,20,20,20,20,25,25,25,25,25,25,25,30,30,30,30,30,30,30,,
70,2,20,206,"In this game, when can players unlock the quick skill upgrade feature?  ","Trong trò chơi này, khi nào người chơi có thể mở tính năng nâng cấp nhanh kỹ năng?","In this game, when can players unlock the quick skill upgrade feature?  ",ในเกมนี้ ผู้เล่นจะปลดล็อกฟีเจอร์อัพเกรดสกิลเร็วได้เมื่อใด?  ,"Dalam permainan ini, kapan pemain bisa membuka fitur peningkatan skill cepat?  ","Sa larong ito, kailan mabubuksan ng mga manlalaro ang quick skill upgrade feature?  ","Dalam permainan ini, kapan pemain dapat membuka fitur peningkatan skill cepat?",35,35,35,35,35,35,35,10,10,10,10,10,10,10,20,20,20,20,20,20,20,40,40,40,40,40,40,40,,
71,2,20,206,"In this game, when can players detect catchable Pokémon after consuming stamina?  ","Trong trò chơi này, khi nào người chơi có thể phát hiện Pokémon có thể bắt được sau khi tiêu tốn sức bền?","In this game, when can players detect catchable Pokémon after consuming stamina?  ",ในเกมนี้ ผู้เล่นจะตรวจพบโปเกมอนที่สามารถจับได้หลังจากใช้พลังงานเมื่อใด?  ,"Dalam permainan ini, kapan pemain bisa mendeteksi Pokémon yang dapat ditangkap setelah mengonsumsi stamina?  ","Sa larong ito, kailan makakadetect ang mga manlalaro ng catchable Pokémon pagkatapos gumamit ng stamina?  ","Dalam permainan ini, kapan pemain dapat mendeteksi Pokémon yang bisa ditangkap setelah menghabiskan stamina?",36,36,36,36,36,36,36,30,30,30,30,30,30,30,35,35,35,35,35,35,35,40,40,40,40,40,40,40,,
72,2,20,206,"In this game, when can players unlock the achievement system?  ","Trong trò chơi này, khi nào người chơi có thể mở hệ thống thành tựu?","In this game, when can players unlock the achievement system?  ",ในเกมนี้ ผู้เล่นจะปลดล็อกระบบความสำเร็จเมื่อใด?  ,"Dalam permainan ini, kapan pemain bisa membuka sistem pencapaian?  ","Sa larong ito, kailan mabubuksan ng mga manlalaro ang achievement system?  ","Dalam permainan ini, kapan pemain dapat membuka sistem pencapaian?",50,50,50,50,50,50,50,45,45,45,45,45,45,45,40,40,40,40,40,40,40,60,60,60,60,60,60,60,,
73,2,20,206,"In this game, when can players unlock the fishing feature?  ","Trong trò chơi này, khi nào người chơi có thể mở tính năng câu cá?","In this game, when can players unlock the fishing feature?  ",ในเกมนี้ ผู้เล่นจะปลดล็อกฟีเจอร์ตกปลาเมื่อใด?  ,"Dalam permainan ini, kapan pemain bisa membuka fitur memancing?  ","Sa larong ito, kailan mabubuksan ng mga manlalaro ang fishing feature?  ","Dalam permainan ini, kapan pemain dapat membuka fitur memancing?",65,65,65,65,65,65,65,50,50,50,50,50,50,50,55,55,55,55,55,55,55,60,60,60,60,60,60,60,,
74,2,20,206,"In this game, when can players unlock the magic stone system?  ","Trong trò chơi này, khi nào người chơi có thể mở hệ thống đá phép?","In this game, when can players unlock the magic stone system?  ",ในเกมนี้ ผู้เล่นจะปลดล็อกระบบหินเวทย์มนตร์เมื่อใด?  ,"Dalam permainan ini, kapan pemain bisa membuka sistem batu sihir?  ","Sa larong ito, kailan mabubuksan ng mga manlalaro ang magic stone system?  ","Dalam permainan ini, kapan pemain dapat membuka sistem batu sihir?",66,66,66,66,66,66,66,56,56,56,56,56,56,56,60,60,60,60,60,60,60,70,70,70,70,70,70,70,,
75,2,20,206,"In this game, when can players unlock the mega evolution feature?  ","Trong trò chơi này, khi nào người chơi có thể mở tính năng siêu tiến hóa?","In this game, when can players unlock the mega evolution feature?  ",ในเกมนี้ ผู้เล่นจะปลดล็อกฟีเจอร์การวิวัฒนาการเมก้าเมื่อใด?  ,"Dalam permainan ini, kapan pemain bisa membuka fitur mega evolusi?  ","Sa larong ito, kailan mabubuksan ng mga manlalaro ang mega evolution feature?  ","Dalam permainan ini, kapan pemain dapat membuka fitur mega evolusi?",68,68,68,68,68,68,68,50,50,50,50,50,50,50,58,58,58,58,58,58,58,60,60,60,60,60,60,60,,
76,2,20,206,Which of the following Pokémon is a Dragon type?  ,Loại Pokémon nào sau đây thuộc hệ Rồng?,Which of the following Pokémon is a Dragon type?  ,โปเกมอนชนิดใดต่อไปนี้เป็นประเภทมังกร?  ,Pokémon tipe apa berikut ini yang termasuk jenis Naga?  ,Alin sa mga sumusunod na Pokémon ang Dragon-type?  ,Jenis Pokémon manakah yang tergolong dalam jenis Naga?,70,70,70,70,70,70,70,60,60,60,60,60,60,60,65,65,65,65,65,65,65,75,75,75,75,75,75,75,,
77,2,50,224,Which of the following Pokémon is a Dragon type?  ,Loại Pokémon nào sau đây thuộc hệ Rồng?,Which of the following Pokémon is a Dragon type?  ,โปเกมอนชนิดใดต่อไปนี้เป็นประเภทมังกร?  ,Pokémon tipe apa berikut ini yang termasuk jenis Naga?  ,Alin sa mga sumusunod na Pokémon ang Dragon-type?  ,Jenis Pokémon manakah yang tergolong dalam jenis Naga?,Whirlwind Dragon,Whirlwind Dragon,Whirlwind Dragon,Whirlwind Dragon,Whirlwind Dragon,Whirlwind Dragon,Naga Pusaran Angin  ,Tropical Dragon  ,Rồng Nhiệt Đới,Tropical Dragon  ,มังกรเขตร้อน  ,Naga Tropis  ,Tropikal na Dragon  ,Naga Tropika  ,Gyarados  ,Gyarados,Gyarados  ,เกียราโดส  ,Gyarados  ,Gyarados  ,Gyarados  ,Fossil Pterosaur  ,Hoá thạch Dực Long,Fossil Pterosaur  ,ฟอสซิลปักษุ Pterosaur  ,Fosil Pterosaur  ,Fossil Pterosaur  ,Fosil Pterosaur  ,,
78,2,50,207,Which of the following Pokémon has the greatest weight?  ,Loại Pokémon nào sau đây có trọng lượng lớn nhất?,Which of the following Pokémon has the greatest weight?  ,โปเกมอนตัวใดที่มีน้ำหนักมากที่สุด?  ,Pokémon mana yang memiliki berat terbesar?  ,Aling Pokémon ang may pinakamabigat na timbang?  ,Jenis Pokémon manakah yang paling berat?,Giratina,Giratina,Giratina,Giratina,Giratina,Giratina,Giratina  ,Palkia  ,Palkia,Palkia  ,พัลเกีย  ,Palkia  ,Palkia  ,Palkia  ,Dialga  ,Dialga,Dialga  ,ไดอัลก้า  ,Dialga  ,Dialga  ,Dialga  ,Thunder Sand Kaz  ,Lôi Cát kỳ Kaz,Thunder Sand Kaz  ,ทรายสายฟ้า Kaz  ,Pasir Petir Kaz  ,Thunder Sand Kaz  ,Pasir Petir Kaz  ,,
79,2,50,207,Which Pokémon has the greatest weight?  ,Loại Pokémon nào có trọng lượng lớn nhất?,Which Pokémon has the greatest weight?  ,โปเกมอนตัวใดที่มีน้ำหนักมากที่สุด?  ,Pokémon mana yang memiliki berat terbesar?  ,Aling Pokémon ang may pinakamabigat na timbang?  ,Jenis Pokémon manakah yang paling berat?,Flower Healing Ring,Flower Healing Ring,Flower Healing Ring,Flower Healing Ring,Flower Healing Ring,Flower Healing Ring,Cincin Penyembuh Bunga  ,Sword Dance Scroll  ,Giấy Múa Kiếm,Sword Dance Scroll  ,กระดาษระบำดาบ  ,Kertas Tarian Pedang  ,Scroll ng Sayaw ng Espada  ,Skrol Tarian Pedang  ,Flora  ,Flora,Flora  ,ฟลอร่า  ,Flora  ,Flora  ,Flora  ,Coase Old Neck  ,Coase chớ cổ,Coase Old Neck  ,คอเก่า Coase  ,Coase Leher Tua  ,Coase Old Neck  ,Coase Leher Lama  ,,
80,2,50,207,Which Pokémon has the smallest weight?  ,Loại Pokémon nào có trọng lượng nhỏ nhất?,Which Pokémon has the smallest weight?  ,โปเกมอนตัวใดที่มีน้ำหนักน้อยที่สุด?  ,Pokémon mana yang paling ringan?  ,Aling Pokémon ang may pinakamagaan na timbang?  ,Jenis Pokémon manakah yang paling ringan?,Gastly,Gastly,Gastly,Gastly,Gastly,Gastly,Gastly  ,Little Nail  ,Bé Đinh,Little Nail  ,ตะปูเล็ก  ,Paku Kecil  ,Munting Pako  ,Paku Kecil  ,Chimecho  ,Chimecho,Chimecho  ,ไชมิโช  ,Chimecho  ,Chimecho  ,Chimecho  ,Single Cell Spherical Egg  ,Đơn tế bào trứng cầu,Single Cell Spherical Egg  ,เซลล์เดี่ยวไข่ทรงกลม  ,Sel Telur Bulat Sel Tunggal  ,Single Cell Spherical Egg  ,Sel Telur Bulat Tunggal  ,,
81,2,50,207,Which Pokémon has the smallest weight?  ,Loại Pokémon nào có trọng lượng nhỏ nhất?,Which Pokémon has the smallest weight?  ,โปเกมอนตัวใดที่มีน้ำหนักน้อยที่สุด?  ,Pokémon mana yang paling ringan?  ,Aling Pokémon ang may pinakamagaan na timbang?  ,Jenis Pokémon manakah yang paling ringan?,Mewtwo,Mewtwo,Mewtwo,Mewtwo,Mewtwo,Mewtwo,Mewtwo  ,Lugia  ,Lugia,Lugia  ,ลูเกีย  ,Lugia  ,Lugia  ,Lugia  ,Rayquaza  ,Rayquaza,Rayquaza  ,เรควาซา  ,Rayquaza  ,Rayquaza  ,Rayquaza  ,Pull Hard  ,Cố kéo nhiều,Pull Hard  ,ดึงแรง  ,Tarik Keras  ,Pull Hard  ,Tarik Kuat  ,,
82,2,50,207,Which Pokémon is the tallest?  ,Loại Pokémon nào cao nhất?,Which Pokémon is the tallest?  ,โปเกมอนตัวใดที่สูงที่สุด?  ,Pokémon mana yang paling tinggi?  ,Aling Pokémon ang pinakamataas?  ,Jenis Pokémon manakah yang paling tinggi?,Whale King,Whale King,Whale King,Whale King,Whale King,Whale King,Raja Paus  ,Steel Serpent  ,Đại Thép Xà,Steel Serpent  ,งูเหล็กยักษ์  ,Ular Baja Besar  ,Higanteng Ahas na Bakal  ,Ular Besi Gergasi  ,Alolan Exeggutor  ,Exeggutor Alola,Alolan Exeggutor  ,เอกเซกกิวเตอร์อโลลา  ,Exeggutor Alola  ,Alolan Exeggutor  ,Exeggutor Alola  ,Close European Card  ,Đóng Âu thẻ,Close European Card  ,ปิดบัตรยุโรป  ,Tutup Kartu Eropa  ,Close European Card  ,Tutup Kartu Eropah  ,,
83,2,50,207,Which Pokémon is the tallest?  ,Loại Pokémon nào cao nhất?,Which Pokémon is the tallest?  ,โปเกมอนตัวใดที่สูงที่สุด?  ,Pokémon mana yang paling tinggi?  ,Aling Pokémon ang pinakamataas?  ,Jenis Pokémon manakah yang paling tinggi?,Xoxo Bird,Xoxo Bird,Xoxo Bird,Xoxo Bird,Xoxo Bird,Xoxo Bird,Burung Xoxo  ,Messenger Bird  ,Sứ Giả Điểu,Messenger Bird  ,นกผู้ส่งสาร  ,Burung Utusan  ,Ibon ng Mensahe  ,Burung Pengutus  ,Psyduck  ,Psyduck,Psyduck  ,ไซดั๊ก  ,Psyduck  ,Psyduck  ,Psyduck  ,Not Afraid of Kid  ,Không sợ tiểu tử,Not Afraid of Kid  ,ไม่กลัวเด็ก  ,Tak Takut Anak Kecil  ,Not Afraid of Kid  ,Tak Takut Kanak-kanak  ,,
84,2,50,207,Which Pokémon is the shortest?  ,Loại Pokémon nào thấp nhất?,Which Pokémon is the shortest?  ,โปเกมอนตัวใดที่เตี้ยที่สุด?  ,Pokémon mana yang paling pendek?  ,Aling Pokémon ang pinakamababa?  ,Jenis Pokémon manakah yang paling rendah?,Lurantis,Lurantis,Lurantis,Lurantis,Lurantis,Lurantis,Lurantis  ,Tiny Lata  ,Tiểu Lạt Đa,Tiny Lata  ,ลาต้าน้อย  ,Lata Kecil  ,Maliit na Lata  ,Tin Kecil  ,Froakie  ,Froakie,Froakie  ,โฟรกกี้  ,Froakie  ,Froakie  ,Froakie  ,Illusion  ,Mộng ảo,Illusion  ,ภาพลวงตา  ,Ilusi  ,Illusion  ,Ilusi  ,,
85,2,50,207,Which Pokémon is the shortest?  ,Loại Pokémon nào thấp nhất?,Which Pokémon is the shortest?  ,โปเกมอนตัวใดที่เตี้ยที่สุด?  ,Pokémon mana yang paling pendek?  ,Aling Pokémon ang pinakamababa?  ,Jenis Pokémon manakah yang paling rendah?,Serperior,Serperior,Serperior,Serperior,Serperior,Serperior,Serperior  ,Groudon  ,Groudon,Groudon  ,กรูดอน  ,Groudon  ,Groudon  ,Groudon  ,Ho-oh  ,Ho-oh,Ho-oh  ,โฮโอ  ,Ho-oh  ,Ho-oh  ,Ho-oh  ,A Hundred Monsters  ,A Bách quái,A Hundred Monsters  ,ร้อยปีศาจ  ,Seratus Setan  ,A Hundred Monsters  ,Seratus Syaitan  ,,
86,2,50,207,Which Pokémon cannot fly?  ,Loại Pokémon nào không thể bay?,Which Pokémon cannot fly?  ,โปเกมอนตัวใดที่บินไม่ได้?  ,Pokémon mana yang tidak bisa terbang?  ,Aling Pokémon ang hindi kayang lumipad?  ,Jenis Pokémon manakah yang tidak boleh terbang?,Natural Sparrow,Natural Sparrow,Natural Sparrow,Natural Sparrow,Natural Sparrow,Natural Sparrow,Burung Pipit Semula Jadi  ,Cresselia  ,Cresselia,Cresselia  ,เครสเซเลีย  ,Cresselia  ,Cresselia  ,Cresselia  ,Suicune  ,Suicune,Suicune  ,ซุยคูน  ,Suicune  ,Suicune  ,Suicune  ,Cloud Earth Spirit  ,Thổ địa mây,Cloud Earth Spirit  ,จิตวิญญาณแผ่นดินเมฆ  ,Roh Bumi Awan  ,Cloud Earth Spirit  ,Roh Tanah Awan  ,,
87,2,50,208,What happens if Rattata's front teeth grow too long?  ,"Nếu răng cửa của Rattata dài quá, sẽ gây ảnh hưởng gì?",What happens if Rattata's front teeth grow too long?  ,จะเกิดอะไรขึ้นถ้าฟันหน้าของ Rattata ยาวเกินไป?  ,Apa yang terjadi jika gigi depan Rattata tumbuh terlalu panjang?  ,Ano ang mangyayari kapag humaba nang sobra ang ngipin sa harap ni Rattata?  ,"Jika gigi depan Rattata terlalu panjang, apa kesannya?",Không thể ăn và chết đói,Không thể ăn và chết đói,Cannot eat and starves to death  ,ไม่สามารถกินได้และอดตาย  ,Tidak bisa makan dan mati kelaparan  ,Hindi makakain at namamatay sa gutom  ,Tidak dapat makan dan mati kelaparan  ,Attacks deal increased damage to the opponent  ,Tấn công đối phương gây sát thương cao hơn,Attacks deal increased damage to the opponent  ,การโจมตีสร้างความเสียหายสูงขึ้น  ,Serangan memberikan kerusakan lebih besar  ,Mas mataas ang pinsala ng atake sa kalaban  ,Serangan memberi lebih banyak kerosakan kepada musuh  ,Quick Dig  ,Nhanh chóng đào,Quick Dig  ,ขุดเร็ว  ,Gali Cepat  ,Mabilis Maghukay  ,Gali Cepat  ,Will Learn New Skills  ,Sẽ học được mới kỹ năng,Will Learn New Skills  ,จะเรียนรู้ทักษะใหม่  ,Akan Belajar Keterampilan Baru  ,Will Learn New Skills  ,Akan Belajar Kemahiran Baru  ,,
