VariableName,name_cn,name_tw,name,name_vn,name_en,name_th,name_in,name_ph,name_ma,desc_cn,desc,desc_vn,desc_en,desc_th,desc_in,desc_ph,desc_ma,quality,weight,duration,levelRange,award,extraAward,fightinPoints,cardNums,cardNatures,cardNatureRate,condition1,condition1Arg,rate1
Defaults,"""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",1,1,1,<1;100>,{},{},<1.0;1.5>,5,<>,50,0,{1=2},50
序号,任务名字,任務名字,任務名字,name_vn,name_en,name_th,name_in,name_ph,name_ma,任务描述,任务描述,desc_vn,desc_en,desc_th,desc_in,desc_ph,desc_ma,品质,权值,时长(分钟),等级范围(左闭右闭),基础奖励,额外奖励,战力范围修正,上阵卡牌数量,卡牌元素类型,卡牌元素类型成功率,额外条件1 (1-星级;2-阶数;3-资质),额外条件1参数 ({星级/阶数/资质=数量}),成功率加成几率1
133,,,Teach ninjutsu  ,Dạy ninjutsu,Teach ninjutsu  ,สอนนินจุตสึ  ,Ajarkan ninjutsu  ,Magturo ng ninjutsu  ,Ajarkan ninjutsu  ,,Iruka-sensei is busy; you need to substitute and teach ninjutsu to Naruto and others.,"Iruka-sensei có việc bận, bạn cần thay ông ấy dạy ninjutsu cho Naruto và những người khác",Iruka-sensei is busy; you need to substitute and teach ninjutsu to Naruto and others.,อิรุคะเซนเซยุ่ง ต้องสอนนินจุตสึแทนเขาให้กับนารูโตะและคนอื่นๆ,Iruka-sensei sedang sibuk; kamu harus menggantikan dia mengajar ninjutsu kepada Naruto dan yang lain.,Abala si Iruka-sensei; kailangan mong palitan siya sa pagtuturo ng ninjutsu kay Naruto at iba pa.,Iruka-sensei sibuk; anda perlu menggantikannya mengajar ninjutsu kepada Naruto dan yang lain.,5,100,300,<70;74>,{2103=2;gold=52500},{930=5;2103=1},<1.1;1.3>,4,<1;4>,,1,{6=3},
134,,,Mountain climbing training  ,Huấn luyện leo núi,Mountain climbing training  ,ฝึกปีนเขา  ,Latihan panjat gunung  ,Pagsasanay sa pag-akyat ng bundok  ,Latihan mendaki gunung  ,,Climb mountains with Kakashi-sensei to help him recover his body.,Leo núi cùng Kakashi-sensei để giúp ông ấy hồi phục cơ thể,Climb mountains with Kakashi-sensei to help him recover his body.,ปีนเขากับคาคาชิเซนเซเพื่อช่วยฟื้นฟูร่างกายเขา,Mendaki gunung bersama Kakashi-sensei untuk membantunya memulihkan tubuhnya.,Umakyat ng bundok kasama si Kakashi-sensei para tulungan siyang magpagaling.,Mendaki gunung bersama Kakashi-sensei untuk membantunya memulihkan badan.,5,100,300,<70;74>,{2103=2;gold=52500},{2103=1;gold=30000},<1.1;1.3>,4,<1;5>,,2,{9=3},
135,,,Forbidden actions  ,Hành động bị cấm,Forbidden actions  ,การกระทำต้องห้าม  ,Tindakan terlarang  ,Bawal na kilos  ,Tindakan terlarang  ,,Learn forbidden jutsu from the sealing scroll under Orochimaru's guidance.,Học các thuật cấm trong cuốn sách phong ấn dưới sự giúp đỡ của Orochimaru,Learn forbidden jutsu from the sealing scroll under Orochimaru's guidance.,เรียนรู้จูทสึต้องห้ามจากม้วนผนึกภายใต้คำแนะนำของโอโรจิมารุ,Belajar jutsu terlarang dari gulungan segel di bawah bimbingan Orochimaru.,Matutong mga ipinagbabawal na jutsu mula sa sealing scroll sa ilalim ng gabay ni Orochimaru.,Belajar jutsu terlarang dari gulungan penyegelan di bawah bimbingan Orochimaru.,5,100,300,<70;74>,{2103=2;gold=52500},{2103=1;12=15},<1.1;1.3>,4,<2;3>,,3,{3=3},
136,,,Search in lost area  ,Tìm kiếm nơi thất lạc,Search in lost area  ,ค้นหาในพื้นที่ที่หายไป  ,Cari di area yang hilang  ,Maghanap sa nawawalang lugar  ,Cari di kawasan yang hilang  ,,Help the Third Hokage find the lost pipe.,Giúp Hokage Thứ Ba tìm lại ống dẫn bị mất,Help the Third Hokage find the lost pipe.,ช่วยโฮคาเงะที่สามตามหาแท่งสูญหาย,Bantu Hokage Ketiga menemukan pipa yang hilang.,Tumulong kay Third Hokage na hanapin ang nawalang tubo.,Bantu Hokage Ketiga mencari paip yang hilang.,,100,60,<75;79>,{2101=2;gold=23000},{930=1;2101=1},<0.4;0.6>,3,<2;4>,,1,{6=1},
137,,,Resettle refugees  ,Tái định cư người tị nạn,Resettle refugees  ,ตั้งถิ่นฐานใหม่ให้ผู้ลี้ภัย  ,Menempatkan kembali pengungsi  ,I-resettle ang mga refugee  ,Menempatkan semula pelarian  ,,Assist refugees in finding shelter.,Giúp người tị nạn tìm nơi tị nạn,Assist refugees in finding shelter.,ช่วยเหลือผู้ลี้ภัยหาที่หลบภัย,Membantu pengungsi menemukan tempat perlindungan.,Tumulong sa mga refugee na humanap ng kanlungan.,Bantu pelarian mencari tempat perlindungan.,,100,60,<75;79>,{2101=2;gold=23000},{2101=1;gold=6000},<0.4;0.6>,3,<2;5>,,2,{9=1},
138,,,Treasure hunt in the fairyland  ,Săn kho báu trong tiên cảnh,Treasure hunt in the fairyland  ,ล่าขุมทรัพย์ในดินแดนเทพนิยาย  ,Berburu harta karun di negeri dongeng  ,Manghuli ng kayamanan sa engkantadong lupa  ,Mencari harta karun di tanah dongeng  ,,Accidentally obtain a treasure map leading to a buried treasure somewhere on Mount Myouki.,"Vô tình có được một bản đồ kho báu, chỉ dẫn kho báu được chôn cất ở một nơi nào đó trên núi Myouki",Accidentally obtain a treasure map leading to a buried treasure somewhere on Mount Myouki.,บังเอิญได้แผนที่สมบัติ ที่ชี้ทางไปยังสมบัติที่ฝังอยู่บนภูเขามโยคิ,Tidak sengaja mendapatkan peta harta karun yang menunjukkan harta tersembunyi di Gunung Myouki.,Aksidenteng nakuha ang mapa ng kayamanan na nagtataguyod ng nakatagong kayamanan sa Bundok Myouki.,Secara tidak sengaja mendapat peta harta karun yang menunjukkan lokasi harta tersembunyi di Gunung Myouki.,,100,60,<75;79>,{2101=2;gold=23000},{2101=1;12=5},<0.4;0.6>,3,<3;4>,,3,{2=1},
139,,,The six relics,Sáu di vật,The six relics,วัตถุโบราณทั้งหก,Enam relik,Anim na relikya,Enam artifak,,"In a dream, receive guidance from the Sage of Six Paths and find the hidden red vase.","Trong giấc mơ, nhận được chỉ dẫn của Sage of Six Paths và tìm thấy nơi chôn giấu của bình đỏ","In a dream, receive guidance from the Sage of Six Paths and find the hidden red vase.",ในความฝันได้รับคำแนะนำจากเซจแห่งหกเส้นทางและค้นพบที่ซ่อนแจกันแดง,"Dalam mimpi, menerima petunjuk dari Sage of Six Paths dan menemukan tempat penyimpanan vas merah.","Sa panaginip, tumanggap ng gabay mula sa Sage of Six Paths at natagpuan ang nakatagong pulang plorera.","Dalam mimpi, terima panduan dari Sage of Six Paths dan temui tempat tersembunyi pasu merah.",2,100,120,<75;79>,{2101=4;gold=28750},{930=2;2101=2},<0.5;0.7>,3,<3;5>,,1,{6=1},
140,,,Rap training  ,Huấn luyện rap,Rap training  ,ฝึกแร็ป  ,Latihan rap  ,Pagsasanay ng rap  ,Latihan rap  ,,Compose rap with Kirabi to improve your rap skills.,Sáng tác rap cùng Kirabi để nâng cao kỹ năng nói rap của bạn,Compose rap with Kirabi to improve your rap skills.,ประพันธ์แร็พกับคิราบิ เพื่อพัฒนาทักษะการพูดแร็พของคุณ,Membuat rap bersama Kirabi untuk meningkatkan kemampuan rap kamu.,Gumawa ng rap kasama si Kirabi para mapaunlad ang iyong kasanayan sa rap.,Berkarya rap bersama Kirabi untuk meningkatkan kemahiran rap anda.,2,100,120,<75;79>,{2101=4;gold=28750},{2101=2;gold=10000},<0.5;0.7>,3,<4;5>,,2,{9=1},
141,,,Capture the traitor  ,Bắt giữ kẻ phản bội,Capture the traitor  ,จับผู้ทรยศ  ,Tangkap pengkhianat  ,Hulihin ang taksil  ,Tangkap pengkhianat  ,,Help the village catch a traitor ninja.,Giúp làng bắt được ninja phản bội,Help the village catch a traitor ninja.,ช่วยหมู่บ้านจับนินจาทรยศ,Bantu desa menangkap ninja pengkhianat.,Tumulong sa nayon na mahuli ang isang ninja na taksil.,Bantu kampung menangkap ninja pengkhianat.,2,100,120,<75;79>,{2101=4;gold=28750},{2101=2;12=7},<0.5;0.7>,3,<1;2>,,3,{2=1},
142,,,Inspect the villages  ,Kiểm tra làng mạc,Inspect the villages  ,ตรวจสอบหมู่บ้าน  ,Periksa desa  ,Suriin ang mga nayon  ,Periksa kampung  ,,Stroll around the village to check if everything is fine.,"Đi dạo quanh làng, kiểm tra mọi thứ có ổn không",Stroll around the village to check if everything is fine.,เดินเล่นรอบหมู่บ้านเพื่อตรวจสอบว่าทุกอย่างเรียบร้อยดี,Berjalan-jalan di sekitar desa untuk memeriksa apakah semuanya baik-baik saja.,Maglakad-lakad sa paligid ng nayon upang tiyakin na ayos ang lahat.,Berjalan-jalan di sekitar kampung untuk memeriksa keadaan.,3,100,180,<75;79>,{2102=2;gold=34500},{930=3;2102=1},<0.6;0.8>,3,<1;3>,,1,{6=2},
143,,,Assist in grass cutting  ,Hỗ trợ cắt cỏ,Assist in grass cutting  ,ช่วยตัดหญ้า  ,Bantu memotong rumput  ,Tumulong sa pagputol ng damo  ,Bantu potong rumput  ,,"The villagers' fields are overgrown with weeds, needing many people to help clear them.","Cánh đồng của dân làng mọc đầy cỏ dại, cần rất nhiều người để giúp tiêu diệt cỏ dại","The villagers' fields are overgrown with weeds, needing many people to help clear them.",ทุ่งของชาวบ้านเต็มไปด้วยวัชพืช ต้องการคนจำนวนมากช่วยกำจัด,"Ladang warga dipenuhi rumput liar, membutuhkan banyak orang untuk membantu membersihkannya.","Ang mga bukirin ng mga taga-nayon ay puno ng damo, kailangan ng maraming tao para tulungang linisin ito.","Ladang penduduk kampung ditumbuhi rumput liar, memerlukan ramai orang untuk membantu membersihkannya.",3,100,180,<75;79>,{2102=2;gold=34500},{2102=1;gold=16000},<0.6;0.8>,3,<1;4>,,2,{9=2},
144,,,Escort the wagon  ,Hộ tống xe ngựa,Escort the wagon  ,คุ้มกันรถม้า  ,Mengawal kereta kuda  ,I-escort ang karwahe  ,Eskor kereta kuda  ,,Escort the trade caravan to the Cloud Village for transactions.,Hộ tống đoàn thương mại tới Làng Mây để giao dịch,Escort the trade caravan to the Cloud Village for transactions.,คุ้มกันขบวนการค้าสู่หมู่บ้านเมฆเพื่อทำการซื้อขาย,Mengawal kafilah perdagangan ke Desa Awan untuk transaksi.,Escort ang pangkat ng kalakalan papuntang Cloud Village para sa transaksyon.,Mengiringi kafilah perdagangan ke Kampung Awan untuk urusan perdagangan.,3,100,180,<75;79>,{2102=2;gold=34500},{2102=1;12=10},<0.6;0.8>,3,<1;5>,,3,{3=2},
145,,,Clear the bandits  ,Dọn dẹp băng cướp,Clear the bandits  ,กวาดล้างโจร  ,Bersihkan perampok  ,Linisin ang mga tulisan  ,Hapuskan perompak  ,,Bandits around the village have become very active recently; investigate the cause and eliminate them.,"Các tên cướp quanh làng gần đây rất hoạt động, đi điều tra nguyên nhân và tiêu diệt bọn cướp",Bandits around the village have become very active recently; investigate the cause and eliminate them.,โจรรอบหมู่บ้านเคลื่อนไหวอย่างแข็งขันในช่วงนี้ ตรวจสอบสาเหตุและกำจัดพวกมัน,Perampok di sekitar desa akhir-akhir ini sangat aktif; selidiki penyebabnya dan singkirkan mereka.,Ang mga tulisan sa paligid ng nayon ay naging aktibo kamakailan; imbestigahan ang dahilan at alisin sila.,Perompak di sekitar kampung kini sangat aktif; siasat punca dan hapuskan mereka.,4,100,240,<75;79>,{2102=4;gold=46000},{930=4;2102=2},<0.9;1.1>,4,<2;3>,,1,{6=2},
146,,,Disguise infiltration  ,Ngụy trang thâm nhập,Disguise infiltration  ,ปลอมตัวแทรกซึม  ,Penyamaran infiltrasi  ,Pagkakubli sa pagsalakay  ,Penyamaran penyusupan  ,,Use charm skills to sneak into the women's bath and search for the lost intimate paradise.,"Sử dụng kỹ năng quyến rũ để lẻn vào phòng tắm nữ, tìm kiếm thiên đường thân mật đã mất",Use charm skills to sneak into the women's bath and search for the lost intimate paradise.,ใช้ทักษะเสน่ห์ลอบเข้าไปในห้องอาบน้ำหญิงเพื่อค้นหาสวรรค์ส่วนตัวที่สูญหาย,Gunakan keterampilan pesona untuk menyelinap ke kamar mandi wanita dan mencari surga intim yang hilang.,Gamitin ang kasanayan sa pang-akit upang makalusot sa paliguan ng mga babae at hanapin ang nawalang paraiso.,Gunakan kemahiran daya tarikan untuk menyelinap masuk ke bilik mandi wanita dan cari syurga intim yang hilang.,4,100,240,<75;79>,{2102=4;gold=46000},{2102=2;gold=20000},<0.9;1.1>,4,<2;4>,,2,{9=2},
147,,,Search for materials  ,Tìm kiếm vật liệu,Search for materials  ,ค้นหาวัสดุ  ,Cari bahan  ,Maghanap ng mga materyales  ,Cari bahan  ,,Go to the frontline battlefield to find ninjas with kekkei genkai for Orochimaru.,Đi đến chiến trường tiền tuyến để tìm kiếm ninja có giới hạn kế thừa máu cho Orochimaru,Go to the frontline battlefield to find ninjas with kekkei genkai for Orochimaru.,ไปยังสนามรบแนวหน้าเพื่อค้นหานินจาที่มีเคเคอิ เกนไค ให้กับโอโรจิมารุ,Pergi ke medan perang garis depan untuk mencari ninja dengan kekkei genkai untuk Orochimaru.,Pumunta sa frontline na labanan upang hanapin ang mga ninja na may kekkei genkai para kay Orochimaru.,Pergi ke medan perang hadapan untuk mencari ninja yang mempunyai kekkei genkai bagi pihak Orochimaru.,4,100,240,<75;79>,{2102=4;gold=46000},{2102=2;12=12},<0.9;1.1>,4,<2;5>,,3,{3=2},
148,,,Teach ninjutsu  ,Dạy ninjutsu,Teach ninjutsu  ,สอนนินจุทสึ  ,Mengajar ninjutsu  ,Turuan ng ninjutsu  ,Ajar ninjutsu  ,,Iruka-sensei is busy; you need to substitute and teach ninjutsu to Naruto and others.,"Iruka-sensei có việc bận, bạn cần thay ông ấy dạy ninjutsu cho Naruto và những người khác",Iruka-sensei is busy; you need to substitute and teach ninjutsu to Naruto and others.,อิรุคะเซนเซยุ่ง ต้องสอนนินจุตสึแทนเขาให้กับนารูโตะและคนอื่นๆ,Iruka-sensei sedang sibuk; kamu harus menggantikan dia mengajar ninjutsu kepada Naruto dan yang lain.,Abala si Iruka-sensei; kailangan mong palitan siya sa pagtuturo ng ninjutsu kay Naruto at iba pa.,Iruka-sensei sibuk; anda perlu menggantikannya mengajar ninjutsu kepada Naruto dan yang lain.,5,100,300,<75;79>,{2103=2;gold=57500},{930=5;2103=1},<1.1;1.3>,4,<3;4>,,1,{6=3},
149,,,Mountain climbing training  ,Huấn luyện leo núi,Mountain climbing training  ,ฝึกปีนเขา  ,Latihan panjat gunung  ,Pagsasanay sa pag-akyat ng bundok  ,Latihan mendaki gunung  ,,Climb mountains with Kakashi-sensei to help him recover his body.,Leo núi cùng Kakashi-sensei để giúp ông ấy hồi phục cơ thể,Climb mountains with Kakashi-sensei to help him recover his body.,ปีนเขากับคาคาชิเซนเซเพื่อช่วยฟื้นฟูร่างกายเขา,Mendaki gunung bersama Kakashi-sensei untuk membantunya memulihkan tubuhnya.,Umakyat ng bundok kasama si Kakashi-sensei para tulungan siyang magpagaling.,Mendaki gunung bersama Kakashi-sensei untuk membantunya memulihkan badan.,5,100,300,<75;79>,{2103=2;gold=57500},{2103=1;gold=30000},<1.1;1.3>,4,<3;5>,,2,{9=3},
150,,,Forbidden actions  ,Hành động bị cấm,Forbidden actions  ,การกระทำต้องห้าม  ,Tindakan terlarang  ,Ipinagbabawal na mga gawain  ,Tindakan terlarang  ,,Learn forbidden jutsu from the sealing scroll under Orochimaru's guidance.,Học các thuật cấm trong cuốn sách phong ấn dưới sự giúp đỡ của Orochimaru,Learn forbidden jutsu from the sealing scroll under Orochimaru's guidance.,เรียนรู้จูทสึต้องห้ามจากม้วนผนึกภายใต้คำแนะนำของโอโรจิมารุ,Belajar jutsu terlarang dari gulungan segel di bawah bimbingan Orochimaru.,Matutong mga ipinagbabawal na jutsu mula sa sealing scroll sa ilalim ng gabay ni Orochimaru.,Belajar jutsu terlarang dari gulungan penyegelan di bawah bimbingan Orochimaru.,5,100,300,<75;79>,{2103=2;gold=57500},{2103=1;12=15},<1.1;1.3>,4,<4;5>,,3,{3=3},
151,,,Search the lost place  ,Tìm kiếm nơi thất lạc,Search the lost place  ,ค้นหาสถานที่ที่หายไป  ,Cari tempat yang hilang  ,Hanapin ang nawawalang lugar  ,Cari tempat yang hilang  ,,Help the Third Hokage find the lost pipe.,Giúp Hokage Thứ Ba tìm lại ống dẫn bị mất,Help the Third Hokage find the lost pipe.,ช่วยโฮคาเงะที่สามตามหาแท่งสูญหาย,Bantu Hokage Ketiga menemukan pipa yang hilang.,Tumulong kay Third Hokage na hanapin ang nawalang tubo.,Bantu Hokage Ketiga mencari paip yang hilang.,,100,60,<80;84>,{2101=2;gold=25000},{930=1;2101=1},<0.4;0.6>,3,<1;2>,45,1,{7=1},55
152,,,Resettle refugees  ,Tái định cư người tị nạn,Resettle refugees  ,ตั้งถิ่นฐานผู้ลี้ภัยใหม่  ,Menetapkan kembali pengungsi  ,I-resettle ang mga refugee  ,Menempatkan semula pelarian  ,,Assist refugees in finding shelter.,Giúp người tị nạn tìm nơi tị nạn,Assist refugees in finding shelter.,ช่วยเหลือผู้ลี้ภัยหาที่หลบภัย,Membantu pengungsi menemukan tempat perlindungan.,Tumulong sa mga refugee na humanap ng kanlungan.,Bantu pelarian mencari tempat perlindungan.,,100,60,<80;84>,{2101=2;gold=25000},{2101=1;gold=6000},<0.4;0.6>,3,<1;3>,45,2,{10=1},55
153,,,Treasure hunting in fairyland  ,Săn kho báu trong tiên cảnh,Treasure hunting in fairyland  ,ล่าสมบัติในดินแดนเทพนิยาย  ,Berburu harta di negeri dongeng  ,Pangangaso ng kayamanan sa lupain ng engkanto  ,Memburu harta karun dalam alam dongeng  ,,Accidentally obtain a treasure map leading to a buried treasure somewhere on Mount Myouki.,"Vô tình có được một bản đồ kho báu, chỉ dẫn kho báu được chôn cất ở một nơi nào đó trên núi Myouki",Accidentally obtain a treasure map leading to a buried treasure somewhere on Mount Myouki.,บังเอิญได้แผนที่สมบัติ ที่ชี้ทางไปยังสมบัติที่ฝังอยู่บนภูเขามโยคิ,Tidak sengaja mendapatkan peta harta karun yang menunjukkan harta tersembunyi di Gunung Myouki.,Aksidenteng nakuha ang mapa ng kayamanan na nagtataguyod ng nakatagong kayamanan sa Bundok Myouki.,Secara tidak sengaja mendapat peta harta karun yang menunjukkan lokasi harta tersembunyi di Gunung Myouki.,,100,60,<80;84>,{2101=2;gold=25000},{2101=1;12=5},<0.4;0.6>,3,<1;4>,45,3,{2=1},55
154,,,Six relics  ,Sáu di vật,Six relics  ,สิ่งโบราณทั้งหก  ,Enam peninggalan  ,Anim na relikya  ,Enam artifak  ,,"In a dream, receive guidance from the Sage of Six Paths and find the hidden red vase.","Trong giấc mơ, nhận được chỉ dẫn của Sage of Six Paths và tìm thấy nơi chôn giấu của bình đỏ","In a dream, receive guidance from the Sage of Six Paths and find the hidden red vase.",ในความฝันได้รับคำแนะนำจากเซจแห่งหกเส้นทางและค้นพบที่ซ่อนแจกันแดง,"Dalam mimpi, menerima petunjuk dari Sage of Six Paths dan menemukan tempat penyimpanan vas merah.","Sa panaginip, tumanggap ng gabay mula sa Sage of Six Paths at natagpuan ang nakatagong pulang plorera.","Dalam mimpi, terima panduan dari Sage of Six Paths dan temui tempat tersembunyi pasu merah.",2,100,120,<80;84>,{2101=4;gold=31250},{930=2;2101=2},<0.5;0.7>,3,<1;5>,45,1,{7=1},55
155,,,Rap training  ,Huấn luyện rap,Rap training  ,ฝึกแร็ป  ,Latihan rap  ,Pagsasanay ng rap  ,Latihan rap  ,,Compose rap with Kirabi to improve your rap skills.,Sáng tác rap cùng Kirabi để nâng cao kỹ năng nói rap của bạn,Compose rap with Kirabi to improve your rap skills.,ประพันธ์แร็พกับคิราบิ เพื่อพัฒนาทักษะการพูดแร็พของคุณ,Membuat rap bersama Kirabi untuk meningkatkan kemampuan rap kamu.,Gumawa ng rap kasama si Kirabi para mapaunlad ang iyong kasanayan sa rap.,Berkarya rap bersama Kirabi untuk meningkatkan kemahiran rap anda.,2,100,120,<80;84>,{2101=4;gold=31250},{2101=2;gold=10000},<0.5;0.7>,3,<2;3>,45,2,{10=1},55
156,,,Capture the traitor  ,Bắt giữ kẻ phản bội,Capture the traitor  ,จับผู้ทรยศ  ,Tangkap pengkhianat  ,Hulihin ang taksil  ,Tangkap pengkhianat  ,,Help the village catch a traitor ninja.,Giúp làng bắt được ninja phản bội,Help the village catch a traitor ninja.,ช่วยหมู่บ้านจับนินจาทรยศ,Bantu desa menangkap ninja pengkhianat.,Tumulong sa nayon na mahuli ang isang ninja na taksil.,Bantu kampung menangkap ninja pengkhianat.,2,100,120,<80;84>,{2101=4;gold=31250},{2101=2;12=7},<0.5;0.7>,3,<2;4>,45,3,{2=1},55
157,,,Inspect the villages  ,Kiểm tra làng mạc,Inspect the villages  ,ตรวจสอบหมู่บ้าน  ,Periksa desa  ,Suriin ang mga nayon  ,Periksa kampung  ,,Stroll around the village to check if everything is fine.,"Đi dạo quanh làng, kiểm tra mọi thứ có ổn không",Stroll around the village to check if everything is fine.,เดินเล่นรอบหมู่บ้านเพื่อตรวจสอบว่าทุกอย่างเรียบร้อยดี,Berjalan-jalan di sekitar desa untuk memeriksa apakah semuanya baik-baik saja.,Maglakad-lakad sa paligid ng nayon upang tiyakin na ayos ang lahat.,Berjalan-jalan di sekitar kampung untuk memeriksa keadaan.,3,100,180,<80;84>,{2102=2;gold=37500},{930=3;2102=1},<0.6;0.8>,3,<2;5>,45,1,{7=2},55
158,,,Assist in grass cutting  ,Hỗ trợ cắt cỏ,Assist in grass cutting  ,ช่วยตัดหญ้า  ,Bantu memotong rumput  ,Tumulong sa pagputol ng damo  ,Bantu potong rumput  ,,"The villagers' fields are overgrown with weeds, needing many people to help clear them.","Cánh đồng của dân làng mọc đầy cỏ dại, cần rất nhiều người để giúp tiêu diệt cỏ dại","The villagers' fields are overgrown with weeds, needing many people to help clear them.",ทุ่งของชาวบ้านเต็มไปด้วยวัชพืช ต้องการคนจำนวนมากช่วยกำจัด,"Ladang warga dipenuhi rumput liar, membutuhkan banyak orang untuk membantu membersihkannya.","Ang mga bukirin ng mga taga-nayon ay puno ng damo, kailangan ng maraming tao para tulungang linisin ito.","Ladang penduduk kampung ditumbuhi rumput liar, memerlukan ramai orang untuk membantu membersihkannya.",3,100,180,<80;84>,{2102=2;gold=37500},{2102=1;gold=16000},<0.6;0.8>,3,<3;4>,45,2,{10=2},55
159,,,Escort the wagon  ,Hộ tống xe ngựa,Escort the wagon  ,คุ้มกันรถม้า  ,Mengawal kereta kuda  ,I-escort ang karwahe  ,Eskor kereta kuda  ,,Escort the trade caravan to the Cloud Village for transactions.,Hộ tống đoàn thương mại tới Làng Mây để giao dịch,Escort the trade caravan to the Cloud Village for transactions.,คุ้มกันขบวนการค้าสู่หมู่บ้านเมฆเพื่อทำการซื้อขาย,Mengawal kafilah perdagangan ke Desa Awan untuk transaksi.,Escort ang pangkat ng kalakalan papuntang Cloud Village para sa transaksyon.,Mengiringi kafilah perdagangan ke Kampung Awan untuk urusan perdagangan.,3,100,180,<80;84>,{2102=2;gold=37500},{2102=1;12=10},<0.6;0.8>,3,<3;5>,45,3,{3=2},55
160,,,Clear the bandits  ,Dọn dẹp băng cướp,Clear the bandits  ,กวาดล้างโจร  ,Bersihkan perampok  ,Linisin ang mga tulisan  ,Hapuskan perompak  ,,Bandits around the village have become very active recently; investigate the cause and eliminate them.,"Các tên cướp quanh làng gần đây rất hoạt động, đi điều tra nguyên nhân và tiêu diệt bọn cướp",Bandits around the village have become very active recently; investigate the cause and eliminate them.,โจรรอบหมู่บ้านเคลื่อนไหวอย่างแข็งขันในช่วงนี้ ตรวจสอบสาเหตุและกำจัดพวกมัน,Perampok di sekitar desa akhir-akhir ini sangat aktif; selidiki penyebabnya dan singkirkan mereka.,Ang mga tulisan sa paligid ng nayon ay naging aktibo kamakailan; imbestigahan ang dahilan at alisin sila.,Perompak di sekitar kampung kini sangat aktif; siasat punca dan hapuskan mereka.,4,100,240,<80;84>,{2102=4;gold=50000},{930=4;2102=2},<0.9;1.1>,4,<4;5>,45,1,{7=2},55
161,,,Disguise infiltration  ,Ngụy trang thâm nhập,Disguise infiltration  ,ปลอมตัวแทรกซึม  ,Penyamaran infiltrasi  ,Pagkakubli sa pagsalakay  ,Penyamaran penyusupan  ,,Use charm skills to sneak into the women's bath and search for the lost intimate paradise.,"Sử dụng kỹ năng quyến rũ để lẻn vào phòng tắm nữ, tìm kiếm thiên đường thân mật đã mất",Use charm skills to sneak into the women's bath and search for the lost intimate paradise.,ใช้ทักษะเสน่ห์ลอบเข้าไปในห้องอาบน้ำหญิงเพื่อค้นหาสวรรค์ส่วนตัวที่สูญหาย,Gunakan keterampilan pesona untuk menyelinap ke kamar mandi wanita dan mencari surga intim yang hilang.,Gamitin ang kasanayan sa pang-akit upang makalusot sa paliguan ng mga babae at hanapin ang nawalang paraiso.,Gunakan kemahiran daya tarikan untuk menyelinap masuk ke bilik mandi wanita dan cari syurga intim yang hilang.,4,100,240,<80;84>,{2102=4;gold=50000},{2102=2;gold=20000},<0.9;1.1>,4,<1;2>,45,2,{10=2},55
162,,,Search for materials  ,Tìm kiếm vật liệu,Search for materials  ,ค้นหาวัสดุ  ,Cari bahan  ,Maghanap ng mga materyales  ,Cari bahan  ,,Go to the frontline battlefield to find ninjas with kekkei genkai for Orochimaru.,Đi đến chiến trường tiền tuyến để tìm kiếm ninja có giới hạn kế thừa máu cho Orochimaru,Go to the frontline battlefield to find ninjas with kekkei genkai for Orochimaru.,ไปยังสนามรบแนวหน้าเพื่อค้นหานินจาที่มีเคเคอิ เกนไค ให้กับโอโรจิมารุ,Pergi ke medan perang garis depan untuk mencari ninja dengan kekkei genkai untuk Orochimaru.,Pumunta sa frontline na labanan upang hanapin ang mga ninja na may kekkei genkai para kay Orochimaru.,Pergi ke medan perang hadapan untuk mencari ninja yang mempunyai kekkei genkai bagi pihak Orochimaru.,4,100,240,<80;84>,{2102=4;gold=50000},{2102=2;12=12},<0.9;1.1>,4,<1;3>,45,3,{3=2},55
163,,,Teach ninjutsu  ,Dạy ninjutsu,Teach ninjutsu  ,สอนนินจุทสึ  ,Mengajar ninjutsu  ,Turuan ng ninjutsu  ,Ajar ninjutsu  ,,Iruka-sensei is busy; you need to substitute and teach ninjutsu to Naruto and others.,"Iruka-sensei có việc bận, bạn cần thay ông ấy dạy ninjutsu cho Naruto và những người khác",Iruka-sensei is busy; you need to substitute and teach ninjutsu to Naruto and others.,อิรุคะเซนเซยุ่ง ต้องสอนนินจุตสึแทนเขาให้กับนารูโตะและคนอื่นๆ,Iruka-sensei sedang sibuk; kamu harus menggantikan dia mengajar ninjutsu kepada Naruto dan yang lain.,Abala si Iruka-sensei; kailangan mong palitan siya sa pagtuturo ng ninjutsu kay Naruto at iba pa.,Iruka-sensei sibuk; anda perlu menggantikannya mengajar ninjutsu kepada Naruto dan yang lain.,5,100,300,<80;84>,{2103=2;gold=62500},{930=5;2103=1},<1.1;1.3>,4,<1;4>,45,1,{7=3},55
